OTU_id	10	11	113	120	124	13	132	14	15	16	17	18	19	2	20	21	22	23	24	25	26	28	29	32	33	35	36	37	38	39	4	48	50	51	52	55	56	6	60	61	67	68	7	71	72	74	75	76	78	79	8	82	83	86	87	9	92	98	99
10	1.000	-0.152	-0.076	0.012	0.051	0.060	-0.049	0.428	-0.008	-0.041	-0.029	0.079	-0.111	-0.358	0.265	-0.066	-0.015	-0.040	-0.053	0.074	0.575	0.474	0.292	-0.015	0.548	0.363	-0.007	0.185	-0.043	0.025	0.436	0.057	0.311	0.690	0.135	-0.014	0.010	0.308	0.010	0.478	0.214	0.249	0.039	0.397	0.033	0.038	0.077	-0.050	-0.002	-0.045	0.045	0.602	0.159	-0.033	0.036	0.078	-0.016	-0.027	-0.019
11	-0.152	1.000	0.061	-0.029	0.133	0.053	-0.051	-0.073	-0.076	-0.155	0.105	-0.127	-0.020	-0.005	-0.221	0.035	-0.079	-0.021	-0.059	-0.156	-0.113	-0.122	-0.142	-0.089	-0.079	-0.094	-0.065	-0.126	0.100	-0.084	-0.235	-0.100	-0.176	-0.166	-0.193	-0.092	-0.132	-0.129	-0.037	-0.083	-0.076	-0.133	-0.022	-0.036	-0.036	-0.115	-0.126	0.070	-0.134	-0.098	-0.069	-0.137	-0.173	0.091	-0.063	-0.070	-0.092	0.043	-0.057
113	-0.076	0.061	1.000	0.057	-0.079	0.076	0.024	-0.031	0.120	0.121	-0.005	-0.002	0.004	-0.098	-0.043	-0.052	0.038	-0.007	0.058	0.289	-0.060	-0.029	-0.026	0.052	-0.054	-0.115	0.166	-0.046	-0.065	-0.026	0.016	0.120	0.012	-0.081	-0.035	-0.043	0.028	-0.133	-0.064	-0.057	0.071	-0.041	0.092	-0.086	-0.026	0.012	0.025	0.002	-0.034	-0.012	0.003	-0.066	-0.085	0.011	-0.032	0.121	0.011	0.001	-0.044
120	0.012	-0.029	0.057	1.000	0.020	0.106	-0.070	0.170	0.187	0.105	-0.060	-0.003	-0.040	-0.257	0.250	0.030	-0.022	0.152	0.323	0.063	0.063	0.031	0.157	0.020	0.012	0.022	0.307	-0.017	0.207	-0.006	0.351	0.031	0.342	0.060	0.041	0.024	0.290	0.023	0.024	0.034	0.018	-0.021	0.042	0.154	-0.021	-0.024	0.250	0.071	0.074	0.218	0.056	0.036	-0.021	-0.052	0.090	0.177	0.015	0.091	0.485
124	0.051	0.133	-0.079	0.020	1.000	-0.080	-0.025	0.064	0.025	-0.094	0.645	-0.008	-0.105	-0.172	0.062	0.018	0.010	-0.011	-0.013	-0.018	0.073	0.026	0.116	0.003	0.057	0.032	0.014	0.070	0.811	0.159	0.017	0.038	0.067	0.066	0.118	-0.020	-0.015	0.272	0.008	0.111	0.029	0.039	-0.045	0.036	0.037	0.081	0.013	-0.021	0.002	-0.004	0.191	0.097	0.115	-0.013	-0.021	0.192	-0.004	-0.030	0.024
13	0.060	0.053	0.076	0.106	-0.080	1.000	0.252	0.034	-0.018	-0.053	-0.109	-0.073	0.199	-0.196	-0.038	0.021	-0.063	0.007	0.031	0.089	0.028	0.025	-0.011	-0.001	-0.003	-0.024	0.043	-0.041	-0.073	-0.009	0.017	0.016	0.085	0.063	-0.023	-0.033	-0.039	-0.059	-0.018	-0.070	-0.007	-0.022	0.246	0.022	-0.057	-0.088	-0.065	0.043	-0.062	-0.057	0.073	-0.020	-0.010	-0.054	-0.072	-0.010	0.002	-0.018	-0.036
132	-0.049	-0.051	0.024	-0.070	-0.025	0.252	1.000	-0.076	-0.057	-0.123	-0.024	-0.023	0.040	0.012	-0.043	0.026	-0.009	-0.039	-0.025	0.135	-0.047	-0.034	-0.051	-0.034	-0.054	-0.020	-0.058	-0.025	-0.039	-0.032	-0.053	-0.042	-0.074	-0.061	-0.047	-0.035	-0.076	-0.061	0.010	-0.033	-0.059	-0.052	0.034	-0.065	-0.016	-0.044	-0.058	-0.030	-0.021	-0.027	-0.038	-0.047	-0.046	0.003	-0.033	-0.092	-0.024	0.007	-0.020
14	0.428	-0.073	-0.031	0.170	0.064	0.034	-0.076	1.000	0.151	0.031	-0.016	0.136	-0.227	-0.486	0.274	-0.027	0.082	0.126	0.055	0.008	0.346	0.316	0.420	0.043	0.571	0.290	0.136	0.103	0.003	0.067	0.517	0.137	0.443	0.537	0.218	0.082	0.187	0.480	0.058	0.682	0.145	0.329	0.103	0.544	-0.016	0.036	0.196	0.077	0.050	0.005	0.212	0.429	0.142	-0.033	0.084	0.221	-0.034	0.013	0.122
15	-0.008	-0.076	0.120	0.187	0.025	-0.018	-0.057	0.151	1.000	-0.106	0.045	0.024	-0.063	-0.277	0.514	0.072	0.454	0.110	0.235	-0.006	0.004	0.146	0.373	0.205	0.112	-0.008	0.425	-0.008	0.153	0.034	0.265	0.043	0.300	0.059	0.122	0.365	0.287	0.136	0.118	0.121	-0.076	0.028	0.078	0.031	-0.029	0.016	0.172	0.099	0.397	0.104	0.218	0.068	0.039	-0.028	0.303	0.106	0.055	0.178	0.180
16	-0.041	-0.155	0.121	0.105	-0.094	-0.053	-0.123	0.031	-0.106	1.000	-0.116	0.193	-0.124	-0.359	-0.125	0.005	-0.025	0.110	-0.062	0.042	-0.058	-0.038	-0.095	-0.096	-0.123	-0.080	0.022	-0.029	-0.053	-0.073	0.073	-0.088	0.024	-0.089	-0.047	-0.085	0.006	-0.097	-0.057	0.003	0.033	-0.078	0.072	-0.001	-0.012	0.069	-0.064	0.094	-0.087	0.040	-0.055	-0.030	-0.020	-0.084	-0.094	0.044	-0.064	-0.046	-0.035
17	-0.029	0.105	-0.005	-0.060	0.645	-0.109	-0.024	-0.016	0.045	-0.116	1.000	-0.090	-0.140	0.025	-0.007	-0.028	0.014	-0.069	-0.051	-0.070	-0.034	-0.030	-0.006	0.039	0.035	-0.016	0.054	0.031	0.591	0.056	-0.095	0.032	-0.029	0.030	0.045	-0.041	-0.052	0.191	-0.032	0.026	-0.057	0.065	-0.085	-0.076	-0.004	0.028	0.019	-0.057	-0.021	-0.029	0.133	-0.019	-0.026	-0.019	-0.053	0.100	0.007	0.032	-0.025
18	0.079	-0.127	-0.002	-0.003	-0.008	-0.073	-0.023	0.136	0.024	0.193	-0.090	1.000	-0.121	-0.317	0.206	0.139	0.084	0.280	0.164	-0.088	0.040	0.207	0.090	0.100	0.033	0.237	0.045	0.426	-0.059	0.035	0.188	-0.090	0.161	0.117	-0.002	0.040	-0.072	0.191	0.033	0.086	-0.024	0.022	-0.106	0.175	-0.027	0.053	-0.091	0.186	0.021	0.031	-0.063	0.065	-0.034	0.041	-0.022	-0.059	0.023	0.134	-0.000
19	-0.111	-0.020	0.004	-0.040	-0.105	0.199	0.040	-0.227	-0.063	-0.124	-0.140	-0.121	1.000	-0.044	-0.152	0.030	-0.043	-0.114	0.010	0.066	-0.104	-0.117	-0.125	-0.067	-0.171	-0.166	-0.021	-0.102	-0.105	-0.099	-0.209	-0.066	-0.154	-0.170	-0.102	0.017	-0.099	-0.235	-0.077	-0.191	-0.051	-0.134	0.022	-0.167	-0.045	-0.110	-0.110	-0.039	-0.020	-0.033	0.083	-0.161	-0.158	0.004	-0.025	-0.142	-0.059	-0.101	-0.031
2	-0.358	-0.005	-0.098	-0.257	-0.172	-0.196	0.012	-0.486	-0.277	-0.359	0.025	-0.317	-0.044	1.000	-0.381	-0.287	-0.230	-0.302	-0.306	-0.187	-0.353	-0.328	-0.414	-0.222	-0.388	-0.207	-0.281	-0.174	-0.203	-0.210	-0.542	-0.130	-0.504	-0.301	-0.200	-0.227	-0.309	-0.345	-0.007	-0.332	-0.243	-0.280	-0.349	-0.378	-0.045	-0.101	-0.173	-0.284	-0.178	-0.125	-0.292	-0.348	-0.173	0.044	-0.190	-0.456	-0.171	-0.145	-0.176
20	0.265	-0.221	-0.043	0.250	0.062	-0.038	-0.043	0.274	0.514	-0.125	-0.007	0.206	-0.152	-0.381	1.000	0.097	0.157	0.104	0.291	-0.033	0.264	0.373	0.519	0.169	0.293	0.320	0.247	0.365	0.231	0.051	0.448	-0.037	0.611	0.323	0.176	0.537	0.351	0.368	0.092	0.248	-0.020	0.126	0.004	0.221	-0.026	-0.034	0.155	0.059	0.642	-0.012	0.103	0.379	0.078	-0.041	0.358	0.091	0.043	0.316	0.303
21	-0.066	0.035	-0.052	0.030	0.018	0.021	0.026	-0.027	0.072	0.005	-0.028	0.139	0.030	-0.287	0.097	1.000	0.388	0.066	0.441	-0.044	-0.091	0.044	0.059	0.077	-0.008	-0.032	0.164	-0.004	0.035	0.071	0.014	-0.048	-0.023	-0.112	0.006	0.196	0.105	-0.093	-0.004	-0.009	-0.091	-0.002	-0.016	-0.064	-0.037	-0.033	0.004	0.517	0.093	0.035	0.054	-0.026	-0.024	-0.040	0.133	0.026	0.073	0.181	0.107
22	-0.015	-0.079	0.038	-0.022	0.010	-0.063	-0.009	0.082	0.454	-0.025	0.014	0.084	-0.043	-0.230	0.157	0.388	1.000	-0.040	0.296	-0.018	-0.013	0.081	0.163	0.067	0.158	-0.002	0.257	0.042	-0.025	0.055	0.049	0.045	0.058	0.022	0.114	0.137	0.103	0.091	-0.032	0.093	-0.065	0.076	-0.064	-0.089	-0.034	0.049	-0.023	0.260	0.182	0.055	0.172	0.113	0.101	-0.024	0.041	0.038	0.014	0.255	0.009
23	-0.040	-0.021	-0.007	0.152	-0.011	0.007	-0.039	0.126	0.110	0.110	-0.069	0.280	-0.114	-0.302	0.104	0.066	-0.040	1.000	0.134	-0.061	-0.112	0.057	0.058	0.373	-0.032	-0.064	0.185	-0.003	0.044	0.303	0.346	-0.016	0.097	0.016	0.084	0.036	0.015	0.153	0.130	0.040	-0.093	0.053	-0.110	0.083	-0.032	0.024	-0.030	0.070	0.030	0.209	-0.045	0.025	0.079	-0.015	0.011	0.148	0.319	0.011	0.167
24	-0.053	-0.059	0.058	0.323	-0.013	0.031	-0.025	0.055	0.235	-0.062	-0.051	0.164	0.010	-0.306	0.291	0.441	0.296	0.134	1.000	0.070	-0.008	0.126	0.134	0.089	0.078	0.041	0.502	0.024	0.100	0.006	0.226	0.096	0.170	0.004	-0.015	0.249	0.437	-0.048	0.001	-0.022	-0.027	0.075	0.067	0.085	-0.020	-0.011	0.285	0.434	0.123	-0.012	0.112	0.008	-0.038	-0.047	0.323	0.206	0.061	0.197	0.521
25	0.074	-0.156	0.289	0.063	-0.018	0.089	0.135	0.008	-0.006	0.042	-0.070	-0.088	0.066	-0.187	-0.033	-0.044	-0.018	-0.061	0.070	1.000	0.173	0.108	0.104	-0.046	0.060	0.043	0.049	0.023	-0.008	-0.034	0.104	0.217	0.122	0.017	-0.002	-0.022	0.147	-0.117	-0.046	0.051	0.310	0.080	0.234	0.088	0.031	-0.003	0.123	-0.004	-0.005	-0.040	0.042	0.072	0.006	-0.048	-0.007	0.250	0.051	0.018	-0.010
26	0.575	-0.113	-0.060	0.063	0.073	0.028	-0.047	0.346	0.004	-0.058	-0.034	0.040	-0.104	-0.353	0.264	-0.091	-0.013	-0.112	-0.008	0.173	1.000	0.213	0.279	-0.023	0.565	0.379	-0.029	0.228	-0.002	-0.008	0.352	0.243	0.372	0.468	0.111	0.022	0.171	0.203	-0.028	0.342	0.431	0.294	0.215	0.356	0.085	0.132	0.291	-0.074	0.014	-0.040	0.228	0.383	0.207	-0.027	-0.005	0.273	0.003	-0.031	-0.035
28	0.474	-0.122	-0.029	0.031	0.026	0.025	-0.034	0.316	0.146	-0.038	-0.030	0.207	-0.117	-0.328	0.373	0.044	0.081	0.057	0.126	0.108	0.213	1.000	0.384	0.009	0.471	0.496	0.030	0.335	-0.004	-0.017	0.339	-0.025	0.287	0.411	0.062	0.040	0.065	0.275	0.071	0.254	0.010	0.301	-0.047	0.314	-0.016	-0.025	0.022	0.015	0.135	-0.016	0.084	0.469	0.047	-0.038	0.104	0.133	0.017	0.058	0.022
29	0.292	-0.142	-0.026	0.157	0.116	-0.011	-0.051	0.420	0.373	-0.095	-0.006	0.090	-0.125	-0.414	0.519	0.059	0.163	0.058	0.134	0.104	0.279	0.384	1.000	0.309	0.419	0.317	0.237	0.204	0.120	0.399	0.422	0.149	0.412	0.370	0.592	0.207	0.243	0.189	0.005	0.321	0.070	0.408	0.055	0.260	-0.026	0.226	0.296	0.044	0.258	0.171	0.265	0.457	0.439	-0.024	0.257	0.359	0.232	0.199	0.181
32	-0.015	-0.089	0.052	0.020	0.003	-0.001	-0.034	0.043	0.205	-0.096	0.039	0.100	-0.067	-0.222	0.169	0.077	0.067	0.373	0.089	-0.046	-0.023	0.009	0.309	1.000	0.016	-0.032	0.165	0.032	0.117	0.832	0.016	0.207	0.068	0.087	0.443	0.090	0.026	0.032	-0.026	0.017	-0.027	0.359	-0.030	-0.012	-0.020	0.267	0.042	-0.024	0.137	0.416	0.105	0.009	0.357	-0.016	-0.001	0.490	0.894	0.130	0.041
33	0.548	-0.079	-0.054	0.012	0.057	-0.003	-0.054	0.571	0.112	-0.123	0.035	0.033	-0.171	-0.388	0.293	-0.008	0.158	-0.032	0.078	0.060	0.565	0.471	0.419	0.016	1.000	0.438	0.053	0.284	0.012	0.038	0.400	0.263	0.449	0.563	0.209	0.056	0.124	0.355	0.024	0.454	0.198	0.538	0.084	0.562	0.018	0.058	0.303	-0.020	0.025	-0.040	0.201	0.519	0.191	-0.053	0.092	0.262	-0.018	0.010	0.026
35	0.363	-0.094	-0.115	0.022	0.032	-0.024	-0.020	0.290	-0.008	-0.080	-0.016	0.237	-0.166	-0.207	0.320	-0.032	-0.002	-0.064	0.041	0.043	0.379	0.496	0.317	-0.032	0.438	1.000	-0.052	0.439	-0.004	-0.026	0.188	-0.023	0.293	0.316	-0.000	0.040	0.121	0.270	-0.022	0.343	0.073	0.291	0.011	0.395	-0.022	-0.012	0.034	-0.072	0.100	-0.049	-0.023	0.296	-0.001	0.007	0.112	0.134	0.028	-0.065	-0.014
36	-0.007	-0.065	0.166	0.307	0.014	0.043	-0.058	0.136	0.425	0.022	0.054	0.045	-0.021	-0.281	0.247	0.164	0.257	0.185	0.502	0.049	-0.029	0.030	0.237	0.165	0.053	-0.052	1.000	-0.049	0.081	0.013	0.213	0.106	0.141	0.037	0.083	0.151	0.367	-0.018	-0.038	-0.021	0.038	0.008	0.095	0.056	-0.009	0.098	0.231	0.156	0.051	-0.010	0.190	0.004	-0.024	-0.038	0.277	0.207	0.032	0.132	0.405
37	0.185	-0.126	-0.046	-0.017	0.070	-0.041	-0.025	0.103	-0.008	-0.029	0.031	0.426	-0.102	-0.174	0.365	-0.004	0.042	-0.003	0.024	0.023	0.228	0.335	0.204	0.032	0.284	0.439	-0.049	1.000	-0.014	-0.022	0.121	-0.020	0.300	0.215	0.024	0.028	0.021	0.236	-0.023	0.097	-0.020	0.164	-0.058	0.257	-0.018	-0.023	0.037	-0.045	0.054	-0.030	-0.021	0.276	-0.004	-0.022	0.029	0.025	0.005	0.030	0.047
38	-0.043	0.100	-0.065	0.207	0.811	-0.073	-0.039	0.003	0.153	-0.053	0.591	-0.059	-0.105	-0.203	0.231	0.035	-0.025	0.044	0.100	-0.008	-0.002	-0.004	0.120	0.117	0.012	-0.004	0.081	-0.014	1.000	0.189	0.023	0.080	0.225	0.010	0.075	0.194	0.137	0.201	0.023	0.023	-0.042	0.098	-0.027	0.049	-0.022	0.076	0.130	-0.064	0.261	0.045	0.199	-0.033	0.067	-0.024	0.103	0.313	0.121	0.131	0.204
39	0.025	-0.084	-0.026	-0.006	0.159	-0.009	-0.032	0.067	0.034	-0.073	0.056	0.035	-0.099	-0.210	0.051	0.071	0.055	0.303	0.006	-0.034	-0.008	-0.017	0.399	0.832	0.038	-0.026	0.013	-0.022	0.189	1.000	0.073	0.201	0.072	0.085	0.693	-0.014	0.012	0.021	-0.015	0.069	-0.002	0.377	-0.041	-0.017	-0.002	0.392	0.083	0.007	0.029	0.415	0.040	0.118	0.619	-0.023	-0.024	0.536	0.848	0.021	0.026
4	0.436	-0.235	0.016	0.351	0.017	0.017	-0.053	0.517	0.265	0.073	-0.095	0.188	-0.209	-0.542	0.448	0.014	0.049	0.346	0.226	0.104	0.352	0.339	0.422	0.016	0.400	0.188	0.213	0.121	0.023	0.073	1.000	0.059	0.483	0.435	0.169	0.093	0.290	0.479	0.143	0.353	0.116	0.138	0.010	0.379	0.001	0.012	0.214	0.102	0.050	0.243	0.026	0.494	0.178	-0.083	0.191	0.162	-0.028	-0.005	0.284
