OTU_id	10	11	113	120	124	13	132	14	15	16	17	18	19	2	20	21	22	23	24	25	26	28	29	32	33	35	36	37	38	39	4	48	50	51	52	55	56	6	60	61	67	68	7	71	72	74	75	76	78	79	8	82	83	86	87	9	92	98	99
10	1.000	-0.043	0.006	-0.036	-0.020	-0.087	-0.014	-0.002	-0.017	-0.074	0.175	-0.015	-0.005	-0.138	-0.019	-0.033	0.055	-0.025	0.253	0.040	-0.054	-0.066	0.073	-0.034	-0.060	0.035	0.012	-0.030	-0.023	0.007	-0.070	-0.009	-0.037	0.020	0.135	-0.024	0.002	-0.077	-0.014	-0.013	0.051	0.037	-0.053	-0.014	-0.022	-0.014	0.161	-0.057	-0.013	-0.031	-0.032	-0.000	0.008	0.009	0.181	0.017	-0.009	0.035	-0.021
11	-0.043	1.000	-0.107	-0.044	-0.085	-0.011	-0.039	0.174	0.020	-0.033	-0.002	-0.088	-0.055	-0.205	-0.025	0.061	-0.103	-0.099	-0.067	0.054	-0.049	-0.055	0.113	0.003	0.055	-0.037	-0.007	0.182	0.018	-0.089	-0.023	0.023	-0.119	-0.083	-0.029	0.134	-0.003	-0.063	-0.063	-0.085	-0.063	-0.089	0.018	-0.036	-0.055	-0.008	0.013	-0.075	-0.009	-0.085	0.017	-0.026	0.025	-0.022	-0.018	-0.118	-0.040	-0.024	-0.037
113	0.006	-0.107	1.000	0.059	0.025	-0.078	-0.056	-0.013	0.189	-0.063	-0.004	-0.060	-0.016	-0.049	0.065	0.008	-0.055	0.072	0.068	-0.062	0.331	0.025	0.099	0.101	0.109	0.032	0.175	-0.008	0.179	0.054	0.335	-0.023	0.034	0.007	0.028	0.026	0.168	0.006	-0.048	0.176	0.049	0.254	-0.088	0.113	-0.040	0.104	0.042	0.130	0.010	-0.005	0.043	-0.003	0.175	0.086	0.093	0.042	-0.030	0.124	0.010
120	-0.036	-0.044	0.059	1.000	0.074	0.017	-0.034	-0.041	-0.041	-0.018	0.021	-0.007	-0.061	-0.114	0.082	0.233	0.005	0.462	-0.034	-0.005	0.047	0.055	0.014	-0.013	0.095	0.019	0.012	0.035	-0.008	0.041	0.038	0.005	0.115	0.085	0.025	0.008	-0.026	-0.038	-0.027	-0.040	-0.013	0.126	-0.009	0.039	-0.029	-0.037	-0.038	-0.005	-0.019	0.002	0.052	0.012	0.027	-0.016	-0.043	0.125	-0.007	-0.039	0.256
124	-0.020	-0.085	0.025	0.074	1.000	0.041	0.008	-0.083	-0.054	-0.036	-0.032	-0.067	-0.077	-0.086	0.259	-0.013	0.036	0.144	0.300	0.071	0.066	0.045	0.118	-0.016	0.007	-0.011	-0.006	0.045	0.035	0.094	0.126	0.055	0.069	-0.021	0.064	0.042	-0.074	0.061	-0.030	0.179	0.210	0.035	0.074	-0.032	-0.024	0.017	0.155	-0.005	-0.004	-0.027	0.104	0.012	-0.020	0.052	0.003	-0.061	0.009	0.232	0.007
13	-0.087	-0.011	-0.078	0.017	0.041	1.000	-0.062	-0.030	-0.013	-0.013	0.013	-0.060	-0.044	-0.136	0.048	-0.058	-0.057	0.011	-0.066	0.159	0.171	-0.115	0.069	0.057	0.212	0.102	-0.072	-0.072	0.013	0.346	-0.085	-0.022	-0.062	-0.032	0.040	-0.067	-0.079	0.000	-0.016	-0.073	0.104	-0.051	-0.018	-0.006	-0.035	0.012	-0.089	0.025	-0.047	0.008	-0.045	-0.027	-0.001	-0.022	-0.117	0.043	0.007	-0.027	0.521
132	-0.014	-0.039	-0.056	-0.034	0.008	-0.062	1.000	-0.035	0.008	-0.057	-0.025	0.097	-0.018	-0.036	0.035	-0.038	-0.030	-0.064	-0.025	0.033	-0.005	-0.008	-0.040	-0.039	-0.009	0.095	0.056	0.246	-0.009	-0.000	-0.012	-0.055	0.041	-0.032	-0.069	0.011	-0.029	-0.020	-0.018	0.027	-0.044	-0.056	-0.030	-0.033	-0.015	-0.044	0.030	0.071	0.883	0.018	0.007	-0.013	-0.052	-0.023	0.016	-0.016	-0.006	-0.035	-0.006
14	-0.002	0.174	-0.013	-0.041	-0.083	-0.030	-0.035	1.000	0.051	0.022	0.032	-0.050	0.039	-0.163	-0.103	0.161	0.038	-0.119	-0.002	0.080	0.139	-0.103	0.083	0.008	0.140	-0.122	0.059	-0.016	-0.080	0.077	0.045	0.033	0.016	0.001	-0.074	0.087	0.028	0.045	0.007	0.063	0.023	-0.010	-0.048	-0.031	-0.051	-0.056	-0.066	0.035	0.009	-0.012	0.053	-0.059	-0.046	-0.053	0.020	-0.012	0.057	-0.020	-0.037
15	-0.017	0.020	0.189	-0.041	-0.054	-0.013	0.008	0.051	1.000	-0.053	-0.076	0.009	-0.047	0.030	0.020	-0.074	-0.083	-0.055	0.043	-0.061	0.258	-0.041	0.048	-0.045	0.019	-0.036	-0.018	-0.004	0.023	0.029	0.030	-0.044	0.100	0.018	0.031	-0.022	0.083	-0.002	0.022	0.050	-0.052	-0.041	-0.096	0.008	-0.030	0.098	0.093	0.071	0.085	-0.062	-0.074	0.001	-0.054	-0.005	0.049	0.118	-0.037	-0.039	0.025
16	-0.074	-0.033	-0.063	-0.018	-0.036	-0.013	-0.057	0.022	-0.053	1.000	-0.030	-0.063	-0.135	-0.287	-0.019	-0.081	0.066	-0.065	-0.164	-0.111	-0.032	0.128	0.053	-0.024	-0.092	-0.042	-0.091	-0.046	0.063	0.007	-0.036	-0.015	-0.054	0.024	0.012	-0.083	-0.084	-0.086	-0.051	-0.098	-0.010	-0.037	-0.001	0.114	-0.053	0.050	-0.062	-0.005	-0.059	-0.090	0.021	0.078	-0.035	-0.017	-0.069	-0.016	-0.049	-0.001	0.019
17	0.175	-0.002	-0.004	0.021	-0.032	0.013	-0.025	0.032	-0.076	-0.030	1.000	0.137	-0.051	-0.090	0.018	0.122	0.053	-0.037	0.059	-0.057	-0.039	0.095	0.018	-0.017	0.020	0.071	-0.037	-0.034	-0.049	0.006	0.103	0.072	-0.082	-0.032	-0.046	-0.038	0.021	0.038	-0.027	-0.047	-0.011	-0.019	-0.008	-0.034	0.012	0.012	-0.015	-0.084	-0.018	-0.051	-0.062	0.118	0.138	0.269	0.063	-0.137	0.010	0.007	-0.008
18	-0.015	-0.088	-0.060	-0.007	-0.067	-0.060	0.097	-0.050	0.009	-0.063	0.137	1.000	0.056	-0.151	-0.016	0.048	-0.014	-0.019	-0.034	-0.016	-0.014	0.004	0.050	-0.052	-0.010	-0.013	-0.031	0.059	-0.021	-0.076	0.000	-0.030	0.162	0.011	0.106	0.045	0.020	-0.076	-0.040	-0.038	-0.011	-0.022	-0.074	-0.042	0.119	-0.007	0.024	-0.074	0.111	0.028	-0.015	0.033	-0.011	0.009	-0.048	0.079	-0.027	-0.031	-0.038
19	-0.005	-0.055	-0.016	-0.061	-0.077	-0.044	-0.018	0.039	-0.047	-0.135	-0.051	0.056	1.000	-0.322	-0.075	-0.038	-0.126	0.012	0.010	0.003	0.052	-0.025	-0.096	0.242	0.005	0.095	0.116	-0.034	0.016	-0.026	-0.029	-0.034	-0.043	-0.014	-0.033	-0.034	0.119	-0.008	-0.043	0.065	0.143	0.019	-0.152	-0.059	-0.003	0.074	0.075	-0.011	-0.048	0.024	0.056	0.056	0.089	-0.022	0.073	-0.053	-0.055	-0.075	-0.064
2	-0.138	-0.205	-0.049	-0.114	-0.086	-0.136	-0.036	-0.163	0.030	-0.287	-0.090	-0.151	-0.322	1.000	-0.149	-0.238	-0.138	-0.101	0.025	-0.153	-0.221	-0.034	-0.197	-0.171	-0.124	-0.188	-0.186	-0.103	-0.111	-0.165	-0.216	-0.076	-0.018	-0.005	-0.152	-0.092	-0.005	-0.215	-0.059	-0.062	-0.156	-0.029	-0.209	-0.065	0.005	-0.125	-0.096	-0.130	-0.054	-0.078	-0.273	-0.155	-0.074	-0.127	-0.113	-0.170	-0.066	-0.032	-0.119
20	-0.019	-0.025	0.065	0.082	0.259	0.048	0.035	-0.103	0.020	-0.019	0.018	-0.016	-0.075	-0.149	1.000	0.213	-0.028	-0.019	0.119	-0.073	0.041	0.143	0.004	-0.022	0.064	0.168	-0.013	-0.050	0.000	0.045	0.067	0.011	0.051	-0.014	0.023	-0.030	0.008	-0.024	-0.033	0.040	-0.007	0.013	0.052	-0.006	0.008	0.018	-0.031	0.091	0.009	-0.034	0.033	0.080	-0.026	0.005	0.248	-0.000	-0.033	0.056	0.040
21	-0.033	0.061	0.008	0.233	-0.013	-0.058	-0.038	0.161	-0.074	-0.081	0.122	0.048	-0.038	-0.238	0.213	1.000	-0.010	0.151	0.061	0.177	-0.022	0.121	0.187	-0.103	0.032	-0.007	0.022	-0.023	-0.030	-0.052	0.040	0.048	0.112	-0.014	0.175	0.019	-0.062	0.002	-0.044	-0.051	-0.067	0.115	-0.006	0.020	-0.031	-0.035	-0.114	-0.025	-0.031	0.035	0.001	0.091	0.005	0.002	0.012	-0.088	-0.025	-0.058	-0.003
22	0.055	-0.103	-0.055	0.005	0.036	-0.057	-0.030	0.038	-0.083	0.066	0.053	-0.014	-0.126	-0.138	-0.028	-0.010	1.000	0.062	0.037	0.049	-0.050	-0.066	0.120	0.012	-0.110	0.114	-0.009	0.000	-0.060	-0.027	0.089	0.093	0.042	0.064	-0.066	0.032	0.058	0.026	0.062	0.257	-0.020	0.002	0.130	0.018	-0.033	-0.012	0.136	0.076	0.015	-0.024	0.063	0.015	-0.017	-0.011	-0.009	-0.025	0.585	0.012	-0.020
23	-0.025	-0.099	0.072	0.462	0.144	0.011	-0.064	-0.119	-0.055	-0.065	-0.037	-0.019	0.012	-0.101	-0.019	0.151	0.062	1.000	-0.036	0.041	0.058	0.118	-0.025	0.036	-0.017	-0.054	-0.017	0.132	0.146	-0.007	-0.065	0.032	0.093	0.089	0.009	0.175	-0.009	0.020	-0.024	-0.063	-0.020	0.207	-0.015	-0.030	-0.028	-0.023	0.005	0.030	-0.044	-0.022	0.004	-0.020	-0.058	-0.047	-0.052	0.033	0.018	-0.017	0.001
24	0.253	-0.067	0.068	-0.034	0.300	-0.066	-0.025	-0.002	0.043	-0.164	0.059	-0.034	0.010	0.025	0.119	0.061	0.037	-0.036	1.000	0.014	-0.016	-0.074	-0.003	-0.054	0.004	-0.063	-0.046	0.101	-0.053	0.018	0.138	0.014	0.025	0.084	0.058	0.089	0.006	-0.062	-0.036	0.092	0.030	0.089	-0.047	-0.006	-0.028	-0.037	0.006	-0.078	-0.023	-0.062	-0.061	-0.029	-0.024	-0.040	0.162	-0.067	-0.033	0.082	-0.056
25	0.040	0.054	-0.062	-0.005	0.071	0.159	0.033	0.080	-0.061	-0.111	-0.057	-0.016	0.003	-0.153	-0.073	0.177	0.049	0.041	0.014	1.000	0.073	-0.065	0.085	0.009	0.123	-0.070	-0.006	0.220	0.008	0.035	-0.011	0.057	0.024	-0.025	0.201	0.221	-0.002	-0.031	-0.004	0.067	0.143	-0.084	-0.031	0.008	-0.030	-0.027	0.041	-0.049	0.002	-0.011	-0.020	-0.047	-0.040	-0.026	-0.025	-0.055	0.063	0.025	0.040
26	-0.054	-0.049	0.331	0.047	0.066	0.171	-0.005	0.139	0.258	-0.032	-0.039	-0.014	0.052	-0.221	0.041	-0.022	-0.050	0.058	-0.016	0.073	1.000	-0.064	0.048	0.081	0.159	-0.038	0.098	0.001	0.110	0.065	0.256	-0.028	0.145	0.012	0.015	-0.016	-0.030	0.098	-0.025	0.010	0.079	0.007	-0.066	0.069	-0.001	0.015	-0.005	0.191	0.074	-0.033	0.037	-0.053	-0.009	-0.024	0.001	0.182	-0.032	-0.048	0.119
28	-0.066	-0.055	0.025	0.055	0.045	-0.115	-0.008	-0.103	-0.041	0.128	0.095	0.004	-0.025	-0.034	0.143	0.121	-0.066	0.118	-0.074	-0.065	-0.064	1.000	0.016	0.009	0.023	0.130	0.068	-0.034	0.084	-0.028	-0.032	0.044	0.081	-0.034	0.064	-0.039	-0.010	-0.056	-0.037	0.032	0.019	0.030	0.040	0.147	-0.037	0.062	-0.018	0.161	-0.022	-0.056	-0.005	0.117	0.039	0.081	-0.002	-0.067	-0.053	-0.052	-0.043
29	0.073	0.113	0.099	0.014	0.118	0.069	-0.040	0.083	0.048	0.053	0.018	0.050	-0.096	-0.197	0.004	0.187	0.120	-0.025	-0.003	0.085	0.048	0.016	1.000	-0.036	0.017	-0.012	0.097	-0.020	0.079	0.081	0.097	0.008	-0.037	0.017	0.068	-0.031	-0.048	-0.021	-0.017	0.012	0.098	0.046	-0.015	-0.000	-0.017	0.070	0.011	-0.044	-0.025	-0.042	0.097	-0.003	-0.041	0.002	-0.019	-0.015	0.045	0.150	0.081
32	-0.034	0.003	0.101	-0.013	-0.016	0.057	-0.039	0.008	-0.045	-0.024	-0.017	-0.052	0.242	-0.171	-0.022	-0.103	0.012	0.036	-0.054	0.009	0.081	0.009	-0.036	1.000	0.058	0.124	0.090	-0.061	0.189	-0.017	0.064	0.015	-0.037	0.029	-0.037	-0.021	-0.032	0.143	-0.030	0.105	0.087	-0.016	-0.060	-0.058	-0.038	0.076	-0.006	-0.009	-0.002	0.067	0.027	0.002	0.066	0.011	0.155	0.016	0.037	-0.018	-0.010
33	-0.060	0.055	0.109	0.095	0.007	0.212	-0.009	0.140	0.019	-0.092	0.020	-0.010	0.005	-0.124	0.064	0.032	-0.110	-0.017	0.004	0.123	0.159	0.023	0.017	0.058	1.000	0.018	0.123	0.031	-0.031	0.206	0.094	0.088	0.045	-0.011	0.006	0.100	-0.031	-0.038	-0.050	0.093	0.199	-0.037	0.018	0.013	-0.040	-0.028	0.010	0.101	0.009	0.003	0.009	0.049	0.024	0.060	-0.033	0.130	-0.040	0.002	0.139
35	0.035	-0.037	0.032	0.019	-0.011	0.102	0.095	-0.122	-0.036	-0.042	0.071	-0.013	0.095	-0.188	0.168	-0.007	0.114	-0.054	-0.063	-0.070	-0.038	0.130	-0.012	0.124	0.018	1.000	0.137	-0.036	0.016	0.035	0.084	-0.021	0.108	0.009	0.052	-0.033	0.106	-0.026	-0.024	0.079	-0.053	0.019	0.037	0.002	-0.021	0.067	0.051	0.340	0.044	-0.015	0.122	0.079	0.264	0.137	0.002	0.106	-0.002	-0.043	-0.003
36	0.012	-0.007	0.175	0.012	-0.006	-0.072	0.056	0.059	-0.018	-0.091	-0.037	-0.031	0.116	-0.186	-0.013	0.022	-0.009	-0.017	-0.046	-0.006	0.098	0.068	0.097	0.090	0.123	0.137	1.000	-0.034	0.011	0.335	0.258	0.004	0.067	0.047	-0.037	-0.016	0.052	-0.032	-0.031	0.149	-0.007	-0.033	0.080	0.114	-0.029	0.224	-0.015	0.090	0.071	-0.021	0.100	0.010	0.098	0.498	0.007	0.003	-0.028	-0.048	-0.014
37	-0.030	0.182	-0.008	0.035	0.045	-0.072	0.246	-0.016	-0.004	-0.046	-0.034	0.059	-0.034	-0.103	-0.050	-0.023	0.000	0.132	0.101	0.220	0.001	-0.034	-0.020	-0.061	0.031	-0.036	-0.034	1.000	0.012	-0.035	-0.036	0.010	0.034	-0.031	-0.007	0.590	-0.053	-0.030	-0.026	0.042	0.005	-0.051	-0.036	0.162	-0.020	-0.007	0.190	0.017	0.248	0.025	-0.023	0.017	0.093	-0.004	-0.035	0.008	0.023	-0.040	-0.011
38	-0.023	0.018	0.179	-0.008	0.035	0.013	-0.009	-0.080	0.023	0.063	-0.049	-0.021	0.016	-0.111	0.000	-0.030	-0.060	0.146	-0.053	0.008	0.110	0.084	0.079	0.189	-0.031	0.016	0.011	0.012	1.000	-0.025	0.043	-0.001	0.054	0.006	0.104	-0.020	-0.037	-0.005	-0.035	-0.042	-0.001	0.016	-0.000	-0.022	-0.002	0.007	0.114	0.017	-0.006	0.074	0.028	-0.000	0.180	0.065	0.304	0.058	0.005	0.030	-0.035
