OTU_id	10	105	109	11	111	112	113	117	124	125	129	13	133	14	15	16	162	17	178	18	188	19	195	2	20	21	22	23	24	25	26	27	28	29	32	33	35	36	37	38	39	4	45	48	50	51	52	54	56	6	61	67	68	7	71	74	75	76	8	82	9	90	97	99
10	1.000	0.035	0.188	-0.104	0.029	0.038	0.030	-0.091	0.173	-0.005	-0.076	-0.060	-0.158	0.045	-0.002	0.071	0.048	0.008	-0.009	-0.044	0.056	0.019	0.006	0.031	-0.038	-0.004	-0.047	0.054	0.028	0.051	-0.050	-0.011	0.034	0.097	0.033	0.037	-0.010	0.044	0.010	-0.082	-0.051	-0.114	0.017	0.002	-0.069	0.062	0.021	-0.025	-0.051	0.034	-0.038	-0.142	-0.046	0.024	-0.055	0.018	-0.055	0.044	0.021	0.004	-0.053	0.003	0.078	0.052
105	0.035	1.000	-0.060	0.098	0.045	0.008	0.076	-0.011	-0.004	0.030	0.059	-0.005	0.008	0.072	-0.020	-0.004	-0.005	-0.012	0.008	0.040	0.029	-0.018	-0.002	0.060	-0.034	-0.003	0.091	0.050	0.059	0.011	-0.003	-0.043	0.075	-0.006	0.056	0.012	0.091	-0.107	-0.091	0.131	0.016	-0.093	-0.024	-0.095	-0.067	-0.010	0.009	-0.061	0.016	-0.094	0.052	0.014	-0.019	-0.066	-0.004	-0.046	0.006	-0.089	0.043	-0.069	-0.000	-0.112	-0.042	0.036
109	0.188	-0.060	1.000	0.003	0.001	0.073	0.030	0.052	0.054	0.011	-0.093	-0.023	-0.039	0.011	-0.109	-0.075	0.011	0.099	-0.028	0.075	-0.015	-0.028	0.116	-0.079	-0.056	-0.033	-0.053	-0.048	-0.017	0.045	-0.025	0.069	0.007	-0.045	-0.035	-0.043	0.014	-0.030	-0.016	-0.021	-0.015	-0.095	0.005	-0.007	0.068	-0.026	0.038	0.023	0.078	-0.019	0.002	-0.024	0.031	-0.022	-0.089	0.024	-0.053	-0.051	-0.020	0.021	0.033	0.011	0.021	0.074
11	-0.104	0.098	0.003	1.000	0.053	-0.029	0.000	-0.067	-0.015	-0.062	0.087	0.132	0.049	0.022	-0.017	-0.000	0.031	0.131	0.015	0.048	0.029	-0.142	-0.043	-0.038	0.112	0.092	0.016	0.016	-0.009	-0.050	0.102	0.003	-0.015	-0.104	0.023	0.015	-0.040	0.008	-0.029	0.043	0.154	0.010	0.000	-0.077	0.001	-0.050	-0.066	-0.023	-0.017	-0.002	0.087	-0.112	0.119	-0.107	0.092	0.007	-0.035	-0.027	-0.033	-0.064	0.064	-0.020	-0.101	-0.039
111	0.029	0.045	0.001	0.053	1.000	-0.004	0.082	0.026	-0.029	0.005	0.030	-0.045	-0.072	0.040	-0.009	0.102	0.022	-0.036	-0.055	0.009	-0.045	-0.048	0.026	-0.068	-0.028	-0.027	0.015	0.051	-0.066	-0.057	0.085	-0.025	-0.037	-0.012	0.047	0.094	0.052	-0.037	0.035	0.031	0.020	0.063	0.079	-0.059	-0.062	0.030	-0.070	-0.068	0.068	0.018	-0.056	-0.075	0.007	0.060	0.086	-0.012	-0.055	-0.070	-0.026	-0.011	-0.038	-0.065	0.029	-0.051
112	0.038	0.008	0.073	-0.029	-0.004	1.000	0.020	-0.069	0.022	-0.103	-0.005	-0.030	0.021	-0.025	0.013	-0.010	-0.004	0.115	0.057	0.001	0.074	-0.064	0.058	-0.073	0.018	-0.017	0.074	-0.099	0.010	0.034	-0.062	-0.022	0.071	-0.021	0.003	-0.037	0.028	-0.049	-0.044	-0.013	-0.034	-0.002	-0.087	0.084	-0.087	-0.001	0.058	0.057	-0.006	0.027	0.076	0.032	0.033	-0.083	-0.024	-0.001	-0.038	0.034	0.105	-0.006	0.071	-0.015	-0.097	-0.054
113	0.030	0.076	0.030	0.000	0.082	0.020	1.000	-0.017	0.043	0.075	0.008	-0.024	-0.044	-0.042	-0.064	0.099	-0.025	-0.078	-0.019	0.056	-0.030	-0.012	-0.017	0.001	-0.041	0.050	-0.127	-0.037	-0.028	-0.004	0.102	0.057	0.045	-0.094	-0.050	0.015	-0.033	-0.032	0.012	0.071	0.035	-0.016	-0.038	-0.054	-0.013	-0.026	0.062	-0.029	-0.052	-0.047	0.032	0.021	-0.057	-0.089	0.070	-0.044	-0.038	-0.097	0.001	0.062	0.112	-0.067	0.025	0.054
117	-0.091	-0.011	0.052	-0.067	0.026	-0.069	-0.017	1.000	-0.001	-0.011	-0.011	-0.023	0.010	-0.027	0.062	-0.001	0.050	0.007	-0.018	-0.039	0.032	-0.006	0.089	-0.085	-0.103	-0.137	-0.048	0.034	-0.026	-0.005	-0.005	-0.004	0.010	0.052	-0.015	0.008	-0.070	0.029	0.084	-0.046	0.022	0.110	-0.015	0.023	0.062	-0.028	-0.014	0.009	0.005	-0.053	-0.009	-0.010	-0.056	0.135	-0.009	0.040	-0.046	-0.038	-0.033	0.109	-0.051	-0.038	0.041	0.110
124	0.173	-0.004	0.054	-0.015	-0.029	0.022	0.043	-0.001	1.000	0.006	-0.029	-0.026	0.011	0.043	-0.011	0.042	0.032	0.103	-0.001	-0.005	-0.024	-0.039	0.000	0.024	-0.017	-0.105	0.014	0.060	0.045	0.084	0.003	-0.014	-0.082	-0.018	0.007	-0.090	0.018	0.020	0.006	-0.054	-0.037	-0.053	-0.010	0.031	0.017	-0.025	0.017	-0.038	0.012	-0.052	0.016	-0.016	-0.026	-0.099	0.071	0.036	-0.024	-0.008	-0.009	0.038	-0.034	-0.096	-0.008	0.005
