OTU_id	1	101	103	11	111	12	13	130	131	137	14	142	147	15	16	162	166	167	17	18	188	19	194	2	21	224	235	247	25	27	3	31	34	38	4	40	407	42	43	45	46	5	58	6	62	64	66	7	70	72	8	85	86	88	9
1	1.000	-0.220	-0.173	-0.393	-0.279	-0.513	-0.304	-0.270	-0.312	-0.152	-0.266	-0.162	-0.167	-0.280	-0.226	-0.093	-0.116	-0.216	-0.161	-0.200	-0.064	-0.202	-0.160	-0.361	-0.273	-0.162	-0.179	-0.164	-0.206	-0.218	-0.309	-0.153	-0.027	-0.236	-0.300	-0.132	-0.167	-0.256	-0.190	-0.260	-0.165	-0.657	-0.197	-0.261	0.084	-0.091	-0.258	-0.292	-0.202	-0.198	-0.306	-0.144	-0.172	-0.186	-0.294
101	-0.220	1.000	-0.014	-0.025	-0.026	0.064	-0.007	-0.022	-0.021	0.059	0.026	-0.013	-0.014	-0.021	-0.013	-0.018	-0.013	-0.018	-0.020	-0.004	0.113	-0.023	-0.016	-0.016	-0.022	-0.011	-0.017	0.897	-0.009	-0.020	0.030	-0.020	-0.025	-0.020	-0.027	-0.024	-0.010	-0.026	0.035	-0.026	-0.014	0.035	-0.015	0.001	-0.040	-0.030	-0.016	-0.024	-0.006	-0.016	-0.013	0.057	-0.022	-0.003	-0.012
103	-0.173	-0.014	1.000	0.032	0.023	-0.021	0.012	0.037	-0.010	-0.015	0.075	0.983	-0.006	0.012	0.031	-0.003	-0.009	-0.011	-0.010	0.036	-0.016	0.007	-0.014	0.016	0.027	-0.011	-0.011	-0.009	-0.004	-0.014	0.283	0.000	-0.031	-0.015	0.077	-0.013	-0.008	0.028	0.390	-0.010	-0.009	-0.024	-0.003	0.054	-0.035	0.026	0.013	0.035	-0.018	0.024	0.046	-0.016	-0.013	-0.012	0.010
11	-0.393	-0.025	0.032	1.000	0.140	0.052	0.447	0.080	0.521	-0.035	0.391	0.034	-0.010	0.498	0.345	-0.004	-0.007	0.763	-0.007	0.176	-0.013	0.339	-0.012	0.574	0.517	0.044	0.028	-0.023	0.470	0.249	0.325	-0.018	0.083	0.697	0.358	-0.028	0.077	0.565	-0.000	0.274	0.200	0.054	0.031	0.291	0.024	0.021	0.237	0.449	-0.040	0.007	0.350	-0.040	0.249	0.309	0.437
111	-0.279	-0.026	0.023	0.140	1.000	0.136	0.191	0.090	0.214	-0.032	0.039	0.024	0.187	0.142	0.128	-0.001	0.007	0.055	-0.005	0.021	0.055	0.075	0.054	0.205	0.098	0.012	0.041	-0.020	0.102	0.023	0.091	-0.008	0.148	0.071	0.198	-0.012	0.825	0.123	0.233	0.293	0.010	0.042	0.069	0.260	0.001	0.351	0.069	0.101	-0.007	0.180	0.146	-0.037	0.018	0.091	0.105
12	-0.513	0.064	-0.021	0.052	0.136	1.000	-0.004	0.276	0.262	0.076	0.001	-0.035	-0.041	-0.008	-0.055	-0.037	0.240	0.038	-0.045	-0.016	0.011	-0.054	0.232	-0.036	0.052	0.342	0.156	-0.025	-0.055	-0.036	-0.006	-0.049	-0.066	0.064	-0.060	-0.027	0.061	-0.011	0.068	0.000	-0.038	0.256	0.213	0.010	-0.028	0.012	0.007	-0.064	-0.008	-0.052	0.093	0.073	-0.006	-0.004	-0.031
13	-0.304	-0.007	0.012	0.447	0.191	-0.004	1.000	0.028	-0.015	-0.031	0.494	0.013	-0.009	0.244	0.641	0.006	-0.014	-0.010	-0.023	0.369	0.026	0.579	-0.014	0.799	0.540	0.087	-0.015	-0.025	0.662	-0.017	0.422	-0.011	0.194	-0.007	0.587	-0.041	0.171	-0.003	0.034	0.026	-0.018	0.032	-0.012	0.727	0.062	0.082	0.051	0.679	-0.030	0.046	0.759	-0.036	-0.026	0.016	0.394
130	-0.270	-0.022	0.037	0.080	0.090	0.276	0.028	1.000	0.055	-0.029	0.094	0.041	-0.004	0.018	0.015	0.005	0.757	0.013	-0.014	-0.002	-0.003	0.013	0.710	0.046	0.029	0.058	0.540	-0.020	0.022	-0.015	0.054	-0.027	-0.007	-0.012	0.076	-0.016	0.062	0.049	-0.032	0.063	0.066	0.041	0.535	0.059	-0.013	0.016	0.130	0.086	-0.004	0.014	0.015	-0.033	-0.032	0.076	0.014
131	-0.312	-0.021	-0.010	0.521	0.214	0.262	-0.015	0.055	1.000	-0.028	0.098	-0.001	0.059	0.275	-0.034	0.119	-0.011	0.668	0.005	0.005	-0.008	-0.013	0.005	0.063	0.202	0.013	0.055	-0.019	-0.011	0.221	0.004	-0.025	0.011	0.567	0.004	-0.007	-0.016	0.548	-0.071	0.211	0.294	0.056	0.146	-0.026	-0.044	-0.049	0.260	-0.015	0.007	0.052	0.210	-0.031	0.213	0.437	0.207
137	-0.152	0.059	-0.015	-0.035	-0.032	0.076	-0.031	-0.029	-0.028	1.000	-0.029	-0.013	-0.008	-0.030	-0.031	-0.016	-0.011	-0.012	-0.018	0.003	0.511	-0.031	-0.009	-0.032	-0.030	-0.012	-0.013	-0.010	-0.025	-0.018	-0.015	-0.020	0.023	-0.020	-0.039	0.054	-0.011	-0.027	-0.044	-0.038	-0.010	0.070	-0.014	-0.020	-0.055	-0.021	-0.029	-0.031	0.166	-0.012	-0.035	0.977	-0.020	-0.025	-0.022
14	-0.266	0.026	0.075	0.391	0.039	0.001	0.494	0.094	0.098	-0.029	1.000	0.083	0.001	0.122	0.260	-0.009	-0.017	0.078	-0.027	0.133	-0.019	0.225	-0.006	0.364	0.195	0.040	-0.012	-0.018	0.295	0.003	0.531	-0.024	0.071	0.074	0.405	-0.035	0.011	0.039	-0.010	0.074	-0.009	0.188	-0.011	0.538	0.011	-0.001	0.071	0.281	-0.019	0.006	0.405	-0.034	0.012	0.037	0.213
142	-0.162	-0.013	0.983	0.034	0.024	-0.035	0.013	0.041	-0.001	-0.013	0.083	1.000	0.001	0.013	0.039	-0.001	-0.008	-0.006	-0.008	0.040	-0.008	0.015	-0.009	0.019	0.032	-0.007	-0.007	-0.008	-0.001	-0.010	0.296	0.002	-0.025	-0.012	0.085	-0.013	-0.009	0.034	0.326	-0.005	-0.005	-0.025	0.001	0.045	-0.033	0.003	0.011	0.024	-0.016	0.034	0.050	-0.014	-0.014	-0.004	0.013
147	-0.167	-0.014	-0.006	-0.010	0.187	-0.041	-0.009	-0.004	0.059	-0.008	0.001	0.001	1.000	0.021	-0.014	0.032	-0.003	-0.002	-0.011	0.028	0.002	-0.009	0.267	-0.001	-0.013	-0.001	0.166	-0.007	-0.003	-0.012	0.026	0.002	0.349	-0.011	0.274	-0.010	-0.004	-0.008	-0.019	-0.005	-0.005	0.114	0.043	-0.003	0.124	-0.007	0.001	0.082	-0.014	0.954	0.069	-0.009	-0.013	0.006	0.010
15	-0.280	-0.021	0.012	0.498	0.142	-0.008	0.244	0.018	0.275	-0.030	0.122	0.013	0.021	1.000	0.409	0.095	-0.012	0.477	-0.020	0.639	0.048	0.502	-0.015	0.557	0.090	-0.006	-0.014	-0.020	0.012	0.135	0.103	-0.011	0.028	0.479	0.146	-0.029	0.095	0.278	-0.011	0.210	-0.012	0.001	-0.007	0.125	-0.026	0.031	0.087	0.473	-0.038	0.100	0.024	-0.033	0.131	0.146	0.788
16	-0.226	-0.013	0.031	0.345	0.128	-0.055	0.641	0.015	-0.034	-0.031	0.260	0.039	-0.014	0.409	1.000	-0.002	-0.014	-0.019	-0.024	0.460	0.106	0.629	-0.020	0.640	0.372	0.021	-0.020	-0.020	0.347	-0.024	0.206	-0.010	0.350	0.045	0.491	-0.033	-0.003	-0.005	-0.034	-0.007	-0.017	-0.010	-0.012	0.538	0.170	-0.006	0.164	0.663	-0.035	0.002	0.408	-0.036	-0.007	-0.006	0.585
