OTU_id	100	101	103	114	116	118	130	142	148	163	166	17	173	176	184	191	198	2	205	208	217	218	22	242	26	269	293	3	343	400	423	43	47	48	6	63	66	88	9
100	1.000	-0.039	-0.017	-0.046	0.037	-0.022	-0.010	-0.002	-0.031	-0.035	-0.055	-0.030	-0.024	-0.029	-0.042	-0.020	-0.031	-0.039	-0.024	-0.032	-0.028	-0.048	-0.046	-0.016	-0.040	-0.025	-0.033	-0.042	0.116	-0.041	-0.024	-0.030	-0.040	-0.032	-0.028	-0.046	-0.052	0.014	-0.024
101	-0.039	1.000	-0.022	-0.077	-0.046	-0.038	-0.020	0.045	-0.034	0.247	-0.028	0.014	0.021	-0.038	-0.048	0.040	-0.018	-0.034	0.083	-0.037	-0.011	-0.011	0.031	0.039	0.077	-0.039	-0.033	0.014	0.029	0.014	0.008	-0.033	-0.060	0.007	-0.037	-0.073	-0.057	0.018	-0.012
103	-0.017	-0.022	1.000	-0.061	-0.003	0.024	0.755	0.199	-0.015	-0.020	0.092	0.061	0.214	-0.019	-0.005	0.064	0.172	0.060	0.081	0.310	0.024	0.388	0.044	0.044	0.086	-0.012	0.036	-0.300	0.197	0.255	0.232	0.038	-0.000	0.180	0.006	0.369	0.016	0.087	0.029
114	-0.046	-0.077	-0.061	1.000	0.419	-0.058	-0.005	-0.066	-0.040	0.012	0.093	-0.030	-0.067	-0.061	-0.023	-0.051	-0.077	-0.082	0.011	-0.073	-0.055	-0.095	-0.089	-0.037	0.049	0.072	-0.009	-0.239	-0.078	-0.077	-0.050	-0.042	-0.062	-0.065	0.047	0.033	0.032	-0.089	-0.046
116	0.037	-0.046	-0.003	0.419	1.000	-0.030	0.043	-0.008	0.034	-0.027	-0.050	-0.021	0.013	-0.040	-0.031	-0.011	-0.032	-0.028	-0.025	-0.028	-0.025	-0.031	-0.048	-0.020	-0.019	-0.017	-0.029	-0.147	-0.056	-0.051	-0.002	-0.041	-0.032	-0.009	-0.003	-0.046	-0.058	-0.011	0.000
118	-0.022	-0.038	0.024	-0.058	-0.030	1.000	-0.045	0.049	0.021	-0.037	-0.015	0.106	0.212	-0.017	-0.016	-0.027	0.373	0.050	-0.032	0.028	0.125	-0.017	0.037	0.922	0.117	-0.028	0.045	-0.393	0.105	0.316	0.107	0.030	-0.046	0.273	0.095	-0.051	-0.052	0.052	0.029
130	-0.010	-0.020	0.755	-0.005	0.043	-0.045	1.000	0.173	-0.013	-0.044	0.243	0.075	0.264	-0.029	-0.055	-0.042	0.307	0.013	0.001	0.386	-0.021	0.292	-0.015	-0.010	0.048	-0.036	0.047	-0.278	0.167	0.097	0.203	0.092	0.033	0.195	-0.018	0.302	0.093	0.005	0.043
142	-0.002	0.045	0.199	-0.066	-0.008	0.049	0.173	1.000	0.293	0.031	0.127	0.317	0.429	0.050	0.076	0.202	0.251	0.059	0.263	0.147	-0.019	0.134	0.291	0.096	0.453	-0.048	0.077	-0.307	0.260	0.069	0.408	0.039	0.009	0.329	0.115	-0.035	0.074	0.309	0.164
148	-0.031	-0.034	-0.015	-0.040	0.034	0.021	-0.013	0.293	1.000	0.053	0.014	0.820	0.496	-0.006	0.072	0.016	0.065	0.183	0.091	0.095	0.083	0.093	0.109	0.053	0.746	0.096	0.076	-0.224	0.173	0.020	0.449	0.084	-0.047	0.314	0.026	-0.024	0.028	0.009	0.183
163	-0.035	0.247	-0.020	0.012	-0.027	-0.037	-0.044	0.031	0.053	1.000	0.144	-0.020	0.034	-0.024	0.450	0.278	0.039	0.041	-0.022	-0.033	0.568	0.004	-0.054	0.008	0.173	0.691	-0.025	-0.369	0.003	-0.046	0.023	0.170	0.094	0.026	0.015	-0.068	-0.002	-0.030	-0.019
166	-0.055	-0.028	0.092	0.093	-0.050	-0.015	0.243	0.127	0.014	0.144	1.000	0.119	0.186	-0.028	-0.063	-0.006	0.284	0.084	0.012	0.090	-0.025	0.233	0.004	0.036	0.328	-0.042	0.003	-0.116	0.104	0.001	0.177	-0.021	-0.000	0.157	-0.033	-0.076	0.179	0.025	0.053
17	-0.030	0.014	0.061	-0.030	-0.021	0.106	0.075	0.317	0.820	-0.020	0.119	1.000	0.591	0.017	-0.008	0.027	0.209	0.039	0.133	0.176	0.101	0.141	0.104	0.145	0.691	-0.013	0.093	-0.256	0.226	0.056	0.550	0.098	-0.022	0.410	0.015	-0.027	0.088	0.068	0.205
173	-0.024	0.021	0.214	-0.067	0.013	0.212	0.264	0.429	0.496	0.034	0.186	0.591	1.000	0.059	0.046	0.238	0.474	0.131	0.310	0.232	0.037	0.241	0.240	0.295	0.514	-0.016	0.097	-0.426	0.289	0.141	0.584	0.097	0.010	0.467	0.034	-0.008	0.092	0.250	0.179
176	-0.029	-0.038	-0.019	-0.061	-0.040	-0.017	-0.029	0.050	-0.006	-0.024	-0.028	0.017	0.059	1.000	-0.021	-0.000	0.079	0.213	0.129	0.009	-0.013	0.042	-0.016	0.005	0.022	-0.020	0.804	-0.030	0.006	0.087	0.020	0.178	-0.029	0.040	-0.002	-0.052	-0.036	0.180	0.031
184	-0.042	-0.048	-0.005	-0.023	-0.031	-0.016	-0.055	0.076	0.072	0.450	-0.063	-0.008	0.046	-0.021	1.000	0.148	0.107	-0.016	-0.037	-0.036	0.306	0.009	-0.028	-0.016	0.001	0.381	0.014	-0.184	0.121	-0.039	0.063	-0.018	0.032	0.031	-0.001	-0.070	0.033	0.036	0.006
191	-0.020	0.040	0.064	-0.051	-0.011	-0.027	-0.042	0.202	0.016	0.278	-0.006	0.027	0.238	-0.000	0.148	1.000	0.028	0.095	0.866	0.031	0.293	0.021	0.678	0.077	0.158	0.336	0.047	-0.530	0.136	-0.025	0.250	0.016	0.030	0.166	0.026	-0.043	-0.012	0.746	0.041
198	-0.031	-0.018	0.172	-0.077	-0.032	0.373	0.307	0.251	0.065	0.039	0.284	0.209	0.474	0.079	0.107	0.028	1.000	0.159	0.074	0.274	0.048	0.401	0.031	0.413	0.227	0.007	0.095	-0.380	0.322	0.125	0.372	0.059	0.083	0.368	0.009	0.002	0.078	0.085	0.195
2	-0.039	-0.034	0.060	-0.082	-0.028	0.050	0.013	0.059	0.183	0.041	0.084	0.039	0.131	0.213	-0.016	0.095	0.159	1.000	0.138	0.026	-0.016	0.146	0.104	0.083	0.060	-0.026	0.236	-0.094	0.106	0.127	0.118	0.036	-0.031	0.087	-0.008	-0.072	-0.039	0.103	0.065
205	-0.024	0.083	0.081	0.011	-0.025	-0.032	0.001	0.263	0.091	-0.022	0.012	0.133	0.310	0.129	-0.037	0.866	0.074	0.138	1.000	0.065	-0.004	0.033	0.697	0.086	0.247	-0.029	0.217	-0.413	0.211	-0.023	0.317	0.093	-0.035	0.230	0.031	-0.053	0.033	0.788	0.074
208	-0.032	-0.037	0.310	-0.073	-0.028	0.028	0.386	0.147	0.095	-0.033	0.090	0.176	0.232	0.009	-0.036	0.031	0.274	0.026	0.065	1.000	-0.007	0.179	0.028	0.063	0.109	-0.030	0.046	-0.159	0.142	0.002	0.270	0.019	-0.013	0.207	0.005	0.194	0.004	0.060	0.057
217	-0.028	-0.011	0.024	-0.055	-0.025	0.125	-0.021	-0.019	0.083	0.568	-0.025	0.101	0.037	-0.013	0.306	0.293	0.048	-0.016	-0.004	-0.007	1.000	-0.016	0.152	-0.014	0.007	0.691	0.031	-0.422	0.016	-0.016	0.066	-0.018	0.105	0.063	0.028	-0.049	-0.033	0.208	-0.004
218	-0.048	-0.011	0.388	-0.095	-0.031	-0.017	0.292	0.134	0.093	0.004	0.233	0.141	0.241	0.042	0.009	0.021	0.401	0.146	0.033	0.179	-0.016	1.000	0.053	0.040	0.156	-0.036	0.015	-0.132	0.109	-0.017	0.190	0.025	-0.034	0.149	-0.030	0.160	-0.010	0.014	0.115
22	-0.046	0.031	0.044	-0.089	-0.048	0.037	-0.015	0.291	0.109	-0.054	0.004	0.104	0.240	-0.016	-0.028	0.678	0.031	0.104	0.697	0.028	0.152	0.053	1.000	0.078	0.253	-0.038	0.082	-0.325	0.169	-0.012	0.281	0.031	-0.049	0.190	-0.010	0.003	-0.035	0.684	0.066
242	-0.016	0.039	0.044	-0.037	-0.020	0.922	-0.010	0.096	0.053	0.008	0.036	0.145	0.295	0.005	-0.016	0.077	0.413	0.083	0.086	0.063	-0.014	0.040	0.078	1.000	0.172	-0.019	0.050	-0.451	0.133	0.333	0.160	0.055	-0.029	0.337	0.020	-0.014	-0.013	0.083	0.046
26	-0.040	0.077	0.086	0.049	-0.019	0.117	0.048	0.453	0.746	0.173	0.328	0.691	0.514	0.022	0.001	0.158	0.227	0.060	0.247	0.109	0.007	0.156	0.253	0.172	1.000	-0.024	0.123	-0.342	0.304	0.038	0.518	0.264	-0.050	0.388	0.131	-0.051	0.056	0.162	0.174
