OTU_id	10	100	102	105	106	109	11	112	113	117	120	124	125	126	129	13	132	133	134	139	14	140	143	146	15	150	16	172	178	179	18	187	19	190	195	2	20	201	21	22	23	24	25	26	266	268	28	29	298	310	321	33	35	36	37	38	39	4	48	50	51	52	54	55	56	6	61	65	66	67	68	7	71	73	74	75	78	8	80	82	83	87	9	90	92	94	95	97	99
10	1.000	-0.041	0.020	-0.031	0.059	0.077	-0.075	0.066	0.042	0.096	0.015	-0.030	0.033	-0.051	0.098	0.053	-0.022	0.037	0.094	-0.146	0.091	-0.042	0.028	-0.025	0.052	0.059	0.026	0.001	-0.052	0.042	0.012	-0.078	0.020	0.055	-0.075	-0.005	-0.097	0.075	0.069	-0.005	0.044	-0.044	-0.034	-0.081	0.009	-0.059	-0.205	-0.165	-0.054	0.016	-0.088	-0.069	0.040	0.015	0.049	-0.035	0.041	0.063	-0.038	-0.001	-0.164	0.102	0.029	-0.018	0.115	-0.056	-0.069	0.027	-0.077	-0.018	0.094	0.060	-0.065	-0.073	0.090	0.050	0.103	-0.002	-0.080	0.031	-0.063	0.047	-0.093	0.031	-0.016	-0.053	0.021	0.038	-0.035
100	-0.041	1.000	-0.006	0.017	0.056	-0.033	-0.023	0.067	-0.037	0.052	0.010	-0.006	-0.002	-0.071	0.071	-0.045	0.038	-0.016	-0.042	0.052	0.009	0.003	-0.016	-0.010	-0.036	-0.016	0.008	0.009	0.001	-0.034	-0.009	-0.029	0.043	-0.000	0.033	-0.028	0.031	-0.029	-0.040	-0.028	-0.017	0.037	-0.028	0.036	0.016	-0.037	-0.056	0.034	-0.004	0.007	-0.012	0.062	0.014	0.021	-0.055	-0.036	-0.027	-0.021	-0.032	-0.019	0.010	-0.029	0.040	-0.012	-0.003	-0.019	0.017	-0.034	0.014	0.010	-0.009	-0.039	0.069	0.035	-0.023	-0.028	0.002	0.012	0.017	0.016	-0.025	0.042	0.019	0.022	0.044	0.017	-0.004	-0.014	0.015
102	0.020	-0.006	1.000	-0.005	-0.047	-0.005	0.004	-0.073	-0.037	0.004	0.009	0.053	0.071	-0.065	-0.032	0.027	-0.042	-0.002	0.000	0.060	0.018	0.046	0.003	0.020	-0.040	-0.054	0.092	-0.007	0.024	0.070	-0.034	-0.068	-0.063	-0.032	0.001	-0.150	0.031	-0.022	-0.073	-0.026	-0.075	-0.010	0.071	0.033	0.021	0.059	0.029	0.017	-0.045	-0.052	0.003	0.001	0.070	-0.023	-0.005	0.109	0.042	-0.020	-0.026	-0.021	-0.025	0.008	-0.009	-0.023	-0.031	-0.073	0.098	-0.049	0.050	0.133	0.034	0.088	-0.021	0.052	-0.010	0.014	0.018	-0.003	-0.014	0.097	-0.061	-0.061	-0.022	-0.071	-0.032	0.014	0.038	0.044	-0.018
105	-0.031	0.017	-0.005	1.000	-0.012	0.008	0.071	0.112	0.027	0.013	0.048	-0.020	0.048	-0.019	-0.023	-0.026	-0.091	0.063	-0.013	0.041	0.098	-0.034	-0.011	-0.038	-0.030	0.117	-0.028	-0.031	-0.011	0.005	0.066	0.026	-0.014	-0.029	-0.045	0.010	0.040	-0.068	-0.155	-0.013	-0.002	0.052	-0.028	-0.047	0.056	0.013	0.034	-0.047	0.003	-0.103	-0.015	0.040	0.028	-0.079	0.118	0.018	0.027	-0.040	-0.042	0.009	-0.079	0.040	-0.068	0.071	-0.028	-0.025	0.046	-0.061	-0.025	0.003	-0.053	-0.021	-0.051	-0.055	-0.053	0.005	0.030	-0.083	0.025	0.023	0.064	0.047	0.013	0.047	0.024	-0.080	-0.043	-0.029	0.090
106	0.059	0.056	-0.047	-0.012	1.000	0.064	-0.050	0.089	-0.126	-0.040	0.027	0.067	-0.017	0.023	0.024	0.040	0.018	0.010	-0.045	0.043	-0.007	0.032	-0.015	0.023	0.057	-0.009	0.021	-0.066	0.039	0.134	0.018	-0.039	-0.056	0.014	-0.090	-0.037	-0.087	0.045	0.086	0.050	0.049	0.062	-0.073	-0.067	0.010	-0.027	-0.129	0.037	-0.053	0.002	-0.047	0.061	-0.000	0.088	-0.027	0.013	0.068	0.132	-0.066	0.088	0.067	-0.050	-0.079	0.098	-0.089	-0.043	-0.035	0.011	-0.042	-0.101	-0.004	0.004	-0.037	-0.043	-0.014	0.049	0.046	-0.016	0.016	-0.048	-0.001	0.015	-0.035	-0.017	-0.064	0.003	0.049	-0.052	0.022
109	0.077	-0.033	-0.005	0.008	0.064	1.000	0.007	-0.048	0.024	-0.034	-0.087	-0.008	-0.054	0.057	-0.066	0.072	-0.061	-0.031	-0.014	-0.001	0.150	0.020	-0.005	-0.022	-0.015	-0.037	-0.017	-0.072	-0.058	0.065	-0.065	-0.004	0.040	0.128	0.017	0.068	0.024	0.101	-0.019	0.026	-0.000	0.013	-0.048	0.033	-0.024	-0.008	-0.083	0.012	-0.039	-0.018	-0.005	-0.050	-0.050	-0.014	-0.120	0.052	0.046	-0.020	0.131	0.041	0.031	0.056	-0.028	-0.017	-0.034	-0.054	0.023	-0.067	-0.035	-0.011	0.088	0.024	0.030	0.029	0.008	0.037	0.057	-0.010	0.034	-0.069	-0.022	0.012	-0.051	0.085	-0.071	0.001	-0.113	0.007	0.007
11	-0.075	-0.023	0.004	0.071	-0.050	0.007	1.000	0.030	0.022	0.014	-0.068	0.041	0.074	0.049	0.046	0.067	0.078	-0.014	-0.159	-0.026	-0.029	-0.011	0.088	-0.060	-0.038	-0.058	-0.166	-0.010	0.064	-0.043	0.067	0.069	0.137	0.020	-0.065	0.048	0.085	-0.042	-0.026	0.030	-0.004	-0.060	-0.058	0.018	-0.007	-0.030	-0.018	0.158	0.056	-0.042	0.046	0.034	0.029	-0.081	0.066	-0.076	-0.045	-0.033	0.023	0.095	-0.077	-0.054	0.010	-0.011	-0.059	-0.027	-0.017	0.134	0.017	0.056	-0.126	-0.024	0.079	-0.059	0.030	-0.010	-0.096	-0.009	0.016	-0.073	-0.006	0.034	0.084	-0.062	-0.041	0.012	-0.038	-0.016	-0.013
112	0.066	0.067	-0.073	0.112	0.089	-0.048	0.030	1.000	-0.050	-0.071	0.059	-0.011	0.008	0.047	0.073	-0.003	0.036	-0.001	0.004	-0.064	0.084	-0.027	-0.099	-0.009	-0.016	-0.022	-0.069	0.047	-0.049	-0.009	0.037	0.030	-0.034	-0.015	-0.142	-0.048	0.031	-0.082	-0.010	0.076	0.058	0.098	-0.075	-0.047	0.020	-0.044	-0.082	0.063	0.045	-0.078	-0.010	-0.023	-0.061	-0.024	0.067	0.057	-0.038	-0.021	-0.027	0.005	0.014	0.038	-0.052	0.035	-0.005	0.012	0.031	-0.078	-0.016	-0.039	-0.003	0.046	0.099	-0.034	-0.063	-0.073	0.001	-0.007	0.097	0.023	-0.088	0.107	-0.072	0.075	0.048	-0.036	0.054	-0.066	-0.027
113	0.042	-0.037	-0.037	0.027	-0.126	0.024	0.022	-0.050	1.000	-0.007	-0.016	-0.053	-0.015	0.029	-0.008	0.103	-0.057	-0.003	0.042	-0.065	-0.113	0.027	-0.001	0.008	0.003	0.020	-0.017	0.005	-0.025	0.047	-0.094	-0.090	0.049	0.004	-0.028	-0.012	0.029	-0.011	0.011	-0.042	0.019	0.056	0.121	-0.002	0.019	-0.030	0.043	-0.088	0.058	0.069	-0.017	0.026	0.054	-0.104	0.077	-0.105	-0.040	-0.026	-0.016	0.070	0.085	0.048	-0.007	0.018	0.039	-0.040	0.010	0.013	0.047	-0.005	-0.059	0.049	0.082	-0.048	-0.086	0.002	0.062	0.039	-0.053	0.015	0.007	-0.070	0.027	0.058	-0.054	0.012	-0.045	-0.037	-0.027
