Weight,From_OTU,To_OTU,From_lineage,To_lineage,From_lineage_short,"To_lineage_short
"
0.69,161,153,"Root(100);Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Burkholderiales(100);unclassified(100);unclassified(100);","Root(100);Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Burkholderiales(100);unclassified(100);unclassified(100);",Betaproteobacteria(100);Burkholderiales(100);,"Betaproteobacteria(100);Burkholderiales(100);
"
0.57,511,44,"Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);Bacteroidaceae(100);Bacteroides(100);","Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);Bacteroidaceae(100);Bacteroides(100);",Bacteroidaceae(100);Bacteroides(100);,"Bacteroidaceae(100);Bacteroides(100);
"
0.52,128,89,"Root(100);Bacteria(100);""Firmicutes""(100);""Clostridia""(100);Clostridiales(100);""Ruminococcaceae""(100);Oscillibacter(100);","Root(100);Bacteria(100);""Firmicutes""(100);""Clostridia""(100);Clostridiales(100);""Ruminococcaceae""(100);unclassified(73);","""Ruminococcaceae""(100);Oscillibacter(100);","Clostridiales(100);""Ruminococcaceae""(100);
"
0.51,128,157,"Root(100);Bacteria(100);""Firmicutes""(100);""Clostridia""(100);Clostridiales(100);""Ruminococcaceae""(100);Oscillibacter(100);","Root(100);Bacteria(100);""Firmicutes""(100);""Clostridia""(100);Clostridiales(100);""Ruminococcaceae""(100);unclassified(100);","""Ruminococcaceae""(100);Oscillibacter(100);","Clostridiales(100);""Ruminococcaceae""(100);
"
0.51,107,474,"Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Porphyromonadaceae""(100);Barnesiella(100);","Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Porphyromonadaceae""(100);Barnesiella(100);","""Porphyromonadaceae""(100);Barnesiella(100);","""Porphyromonadaceae""(100);Barnesiella(100);
"
0.51,164,350,"Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Paraprevotella(100);","Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Paraprevotella(100);","""Prevotellaceae""(100);Paraprevotella(100);","""Prevotellaceae""(100);Paraprevotella(100);
"
0.49,164,263,"Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Paraprevotella(100);","Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Paraprevotella(100);","""Prevotellaceae""(100);Paraprevotella(100);","""Prevotellaceae""(100);Paraprevotella(100);
"
0.46,283,273,Root(100);Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);,Root(100);Bacteria(100);unclassified(58);unclassified(58);unclassified(58);unclassified(58);unclassified(58);,Root(100);Bacteria(100);,"Root(100);Bacteria(100);
"
0.43,164,231,"Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Paraprevotella(100);","Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Paraprevotella(100);","""Prevotellaceae""(100);Paraprevotella(100);","""Prevotellaceae""(100);Paraprevotella(100);
"
0.42,89,157,"Root(100);Bacteria(100);""Firmicutes""(100);""Clostridia""(100);Clostridiales(100);""Ruminococcaceae""(100);unclassified(73);","Root(100);Bacteria(100);""Firmicutes""(100);""Clostridia""(100);Clostridiales(100);""Ruminococcaceae""(100);unclassified(100);","Clostridiales(100);""Ruminococcaceae""(100);","Clostridiales(100);""Ruminococcaceae""(100);
"
0.41,93,46,"Root(100);Bacteria(100);""Firmicutes""(100);""Clostridia""(100);Clostridiales(100);""Ruminococcaceae""(100);Subdoligranulum(91);","Root(100);Bacteria(100);""Firmicutes""(100);""Clostridia""(100);Clostridiales(100);""Lachnospiraceae""(100);unclassified(100);","""Ruminococcaceae""(100);Subdoligranulum(91);","Clostridiales(100);""Lachnospiraceae""(100);
"
