OTU_id	10	102	106	108	109	11	110	113	120	124	126	127	13	134	138	139	14	140	141	146	149	15	152	158	159	16	172	175	18	180	19	190	2	20	204	21	22	220	228	23	239	24	25	250	26	28	29	310	32	320	334	342	35	36	38	39	4	48	50	52	54	55	56	6	60	65	66	68	7	71	73	74	75	76	78	79	8	80	81	83	87	9	92	94	95	96	98	99
10	1.000	0.008	-0.076	0.060	-0.002	-0.015	0.012	0.056	-0.038	0.129	-0.000	0.073	-0.011	0.016	-0.022	0.081	0.038	0.010	-0.078	0.015	0.094	-0.154	-0.074	-0.043	0.059	0.037	-0.031	-0.007	0.021	-0.017	-0.098	0.067	0.076	0.085	-0.032	-0.094	0.125	0.001	-0.024	0.119	0.050	0.058	0.038	0.022	-0.070	0.108	-0.020	0.053	0.024	0.005	0.072	-0.054	0.021	-0.037	-0.009	-0.065	0.051	-0.119	0.074	-0.140	-0.023	-0.100	-0.061	0.008	-0.050	0.039	-0.062	0.065	0.012	0.051	0.023	-0.070	-0.004	0.025	0.033	-0.004	-0.068	-0.044	-0.062	0.045	-0.027	-0.012	-0.026	-0.017	0.095	-0.027	-0.129	0.052
102	0.008	1.000	-0.063	0.015	0.035	-0.144	0.025	0.014	-0.046	0.063	0.042	-0.012	-0.008	-0.035	-0.039	-0.032	0.043	0.028	0.027	-0.049	-0.078	0.091	-0.008	-0.082	-0.001	-0.191	0.006	-0.024	-0.034	0.029	0.013	-0.051	-0.048	0.021	-0.049	0.044	0.080	-0.059	0.060	-0.058	0.001	0.001	0.071	-0.010	0.063	0.165	0.037	0.012	0.000	0.011	0.018	-0.050	0.016	0.048	0.015	-0.039	0.044	-0.069	0.036	0.046	0.030	-0.070	0.109	-0.191	0.009	-0.100	0.053	0.070	0.053	0.039	0.075	-0.077	0.022	0.018	-0.022	-0.018	-0.018	0.051	-0.048	-0.054	0.016	-0.131	0.014	-0.126	0.011	0.004	0.096	0.025
106	-0.076	-0.063	1.000	-0.052	-0.047	0.068	0.061	0.056	-0.026	0.012	-0.023	-0.045	-0.086	-0.031	0.050	0.016	-0.007	-0.050	0.065	-0.007	-0.018	0.043	0.036	-0.007	0.090	-0.040	0.005	0.003	0.072	0.019	0.059	0.067	-0.023	-0.079	0.039	-0.026	-0.042	-0.023	-0.025	0.057	0.005	-0.096	0.003	-0.048	0.106	-0.047	0.031	-0.040	0.013	0.053	-0.051	0.018	0.001	-0.023	-0.024	-0.020	-0.130	0.060	0.016	0.053	-0.041	0.044	-0.009	0.059	0.055	-0.052	0.068	-0.100	-0.041	0.020	0.008	-0.043	-0.050	-0.030	0.017	-0.023	0.064	-0.005	-0.013	0.012	0.020	0.095	0.005	0.045	-0.041	0.025	0.034	-0.030
108	0.060	0.015	-0.052	1.000	0.016	0.032	-0.009	0.030	-0.033	0.034	-0.019	-0.085	0.030	-0.008	0.082	-0.052	0.091	0.119	0.099	0.027	-0.006	0.074	-0.030	-0.017	-0.039	0.111	-0.092	0.072	0.006	-0.018	-0.026	-0.028	-0.099	0.067	-0.010	-0.044	0.124	-0.022	0.057	-0.024	0.021	0.034	-0.025	0.047	0.039	-0.105	-0.035	-0.028	0.032	0.050	-0.028	-0.028	-0.026	-0.102	-0.036	-0.138	0.012	0.019	-0.022	-0.101	0.039	0.028	0.023	0.030	0.035	0.027	-0.078	-0.003	-0.013	-0.099	-0.038	0.067	0.173	-0.052	0.069	-0.104	0.008	-0.055	-0.055	-0.031	0.068	-0.052	0.017	-0.020	-0.103	0.039	-0.023	0.043
109	-0.002	0.035	-0.047	0.016	1.000	-0.060	0.163	-0.020	-0.058	0.070	-0.030	0.137	-0.040	-0.043	-0.025	0.065	0.027	-0.023	0.093	0.008	-0.011	-0.060	0.007	-0.016	0.056	-0.055	0.064	0.048	0.035	0.009	0.094	-0.031	-0.059	0.013	0.103	-0.073	-0.047	0.040	0.032	0.054	-0.046	0.063	-0.012	-0.022	0.042	-0.069	0.059	0.015	0.083	-0.117	-0.036	-0.008	-0.093	-0.103	0.048	0.063	-0.075	-0.039	0.058	-0.024	0.010	0.036	0.039	0.038	-0.068	-0.070	0.047	-0.006	-0.082	-0.041	-0.034	0.028	-0.031	0.049	0.033	-0.043	0.052	0.032	-0.061	0.016	-0.048	0.010	-0.012	0.005	-0.062	-0.069	-0.089	-0.034
11	-0.015	-0.144	0.068	0.032	-0.060	1.000	0.020	0.020	0.007	-0.093	0.020	-0.018	-0.013	0.056	-0.039	0.063	0.037	-0.003	-0.097	0.040	0.017	0.060	-0.081	0.104	0.000	0.091	0.031	0.072	0.035	-0.070	0.103	-0.073	0.038	-0.072	-0.005	0.033	-0.044	0.057	0.011	-0.100	-0.056	-0.060	-0.056	0.047	0.002	-0.085	-0.034	0.059	0.033	0.030	0.003	-0.019	0.114	0.025	-0.148	-0.068	-0.017	0.037	-0.028	-0.081	0.047	0.092	-0.083	0.118	0.154	0.010	-0.040	0.017	0.022	0.034	-0.002	-0.025	-0.089	0.016	0.019	0.137	-0.009	-0.011	0.098	-0.017	0.074	-0.056	-0.062	0.065	-0.103	0.045	-0.071	-0.054
110	0.012	0.025	0.061	-0.009	0.163	0.020	1.000	-0.042	-0.026	-0.047	0.016	0.009	0.036	-0.054	0.055	-0.043	-0.013	-0.077	0.068	0.022	-0.040	-0.058	-0.059	-0.061	-0.053	-0.055	-0.084	0.114	-0.029	0.037	-0.112	-0.064	0.041	0.034	0.079	-0.065	-0.034	-0.049	0.032	0.167	0.050	0.001	-0.006	-0.015	0.003	0.035	-0.054	0.025	0.026	0.045	-0.017	-0.030	-0.057	0.099	0.008	-0.038	-0.067	0.020	0.105	-0.090	-0.032	-0.014	-0.021	0.006	-0.012	-0.105	-0.008	-0.047	0.042	-0.038	0.087	0.045	-0.048	0.164	0.009	0.016	0.044	0.079	-0.077	0.005	-0.057	0.062	0.005	0.004	0.064	-0.021	0.071	-0.026
113	0.056	0.014	0.056	0.030	-0.020	0.020	-0.042	1.000	0.067	-0.085	0.099	0.008	-0.091	-0.022	0.074	-0.041	0.020	-0.054	-0.073	0.073	0.024	0.102	-0.047	-0.063	0.046	-0.003	-0.144	-0.007	0.064	-0.007	0.086	0.037	0.015	-0.126	-0.041	-0.060	0.065	0.024	0.057	-0.058	0.089	0.148	0.030	0.053	-0.056	0.043	-0.029	-0.063	-0.027	0.010	0.010	-0.059	-0.019	-0.036	-0.063	-0.029	0.057	-0.106	0.020	0.089	-0.047	0.009	-0.131	0.085	-0.024	0.013	-0.052	0.121	0.052	0.002	0.032	-0.055	-0.106	0.058	-0.024	-0.029	-0.000	-0.025	-0.039	0.037	0.076	0.028	0.085	0.008	-0.027	0.017	-0.080	-0.060
120	-0.038	-0.046	-0.026	-0.033	-0.058	0.007	-0.026	0.067	1.000	-0.103	-0.022	-0.085	-0.022	0.064	0.122	-0.068	-0.013	-0.009	0.100	0.019	-0.036	0.092	0.015	-0.042	-0.007	-0.033	0.035	0.018	-0.036	-0.007	-0.062	-0.007	-0.065	0.051	-0.021	-0.084	0.013	0.096	0.076	0.039	-0.051	0.016	-0.001	0.014	-0.083	-0.026	-0.012	-0.073	0.012	-0.037	0.048	-0.006	-0.024	0.060	0.121	-0.014	-0.020	0.097	-0.009	-0.035	0.048	0.041	-0.013	-0.008	0.048	0.103	-0.027	-0.031	0.017	-0.015	-0.130	0.068	0.048	0.066	-0.044	0.178	0.028	-0.101	-0.043	0.017	0.054	0.013	0.005	0.100	-0.027	-0.045	-0.056	-0.057
