OTU_id	10	105	109	11	112	113	117	120	124	125	129	13	133	14	16	178	18	188	19	195	2	20	201	203	21	22	24	25	26	28	29	33	35	36	37	38	4	444	48	50	51	54	55	56	6	61	65	67	68	7	71	74	75	8	82	87	9	90	94	97
10	1.000	0.137	0.002	-0.069	-0.061	0.002	0.058	-0.050	-0.061	0.058	0.018	-0.085	-0.032	0.054	-0.024	-0.002	0.012	0.003	-0.046	-0.007	0.164	-0.070	-0.008	0.053	0.042	0.024	0.052	-0.036	0.054	0.069	-0.026	-0.047	0.058	0.012	0.007	-0.020	-0.019	-0.015	0.018	0.010	-0.054	-0.041	-0.039	0.014	-0.013	-0.085	0.012	-0.019	-0.042	-0.030	-0.080	0.024	0.040	-0.015	0.061	-0.024	0.107	0.024	-0.126	0.003
105	0.137	1.000	-0.020	-0.024	-0.033	-0.059	0.062	0.062	-0.004	-0.144	0.040	-0.097	-0.108	-0.033	0.082	-0.036	-0.037	0.027	0.121	-0.039	0.032	-0.114	-0.093	0.066	-0.009	0.082	-0.107	-0.013	0.020	-0.021	0.009	0.054	-0.088	-0.004	0.011	-0.024	0.003	-0.028	0.011	0.030	-0.021	0.094	-0.008	-0.001	0.086	0.029	0.050	0.137	0.062	0.063	0.075	0.042	-0.003	-0.134	0.027	-0.030	0.093	-0.008	-0.029	0.064
109	0.002	-0.020	1.000	-0.015	-0.000	-0.015	0.020	0.076	-0.029	-0.018	0.025	-0.011	-0.094	0.029	-0.040	-0.032	0.013	0.027	0.097	-0.129	-0.037	0.011	0.046	0.026	0.042	-0.078	-0.060	-0.000	-0.038	0.159	0.061	0.031	-0.054	-0.104	-0.024	-0.036	-0.036	-0.065	0.044	0.050	-0.013	-0.037	-0.014	0.032	-0.001	-0.003	-0.090	-0.105	0.113	0.044	0.055	0.016	-0.038	0.153	0.037	-0.041	0.026	-0.017	-0.022	-0.055
11	-0.069	-0.024	-0.015	1.000	0.071	-0.039	0.050	-0.034	-0.027	-0.095	0.027	0.053	-0.029	0.106	0.011	0.026	0.003	0.050	0.010	-0.043	0.143	-0.060	-0.086	-0.071	0.003	-0.073	0.030	0.149	-0.091	0.010	0.049	0.007	-0.084	-0.014	-0.004	-0.138	-0.111	0.017	0.044	-0.012	-0.020	-0.084	0.071	0.040	-0.098	0.007	0.036	0.066	-0.051	0.153	0.048	0.036	-0.006	0.067	-0.025	-0.001	-0.057	0.017	0.071	-0.057
112	-0.061	-0.033	-0.000	0.071	1.000	0.008	0.017	0.071	-0.013	-0.046	-0.029	-0.101	0.043	-0.089	0.026	-0.067	0.079	-0.003	-0.050	-0.067	-0.074	0.025	0.009	-0.091	0.074	-0.052	-0.031	0.045	0.026	0.035	-0.109	0.058	0.054	-0.025	-0.041	0.026	0.020	0.020	0.083	-0.115	0.043	-0.036	-0.009	-0.034	0.049	-0.059	-0.016	-0.001	0.021	0.061	-0.006	0.014	0.064	0.159	-0.007	0.009	0.038	-0.047	0.062	-0.038
113	0.002	-0.059	-0.015	-0.039	0.008	1.000	0.072	-0.082	0.057	0.028	0.036	0.083	-0.003	0.115	-0.037	-0.071	0.080	0.045	0.018	0.027	-0.167	0.061	-0.085	0.001	-0.009	-0.036	0.012	-0.067	0.013	-0.029	0.015	-0.135	0.046	0.002	-0.002	0.039	-0.080	0.031	0.041	-0.085	0.051	-0.019	0.018	0.044	0.110	-0.039	-0.019	0.072	-0.027	0.059	-0.098	-0.005	-0.040	-0.073	-0.040	0.059	-0.105	-0.040	0.034	-0.017
117	0.058	0.062	0.020	0.050	0.017	0.072	1.000	0.054	0.062	-0.042	-0.017	-0.036	0.062	0.033	-0.062	-0.135	0.086	-0.072	0.019	0.093	-0.045	0.043	-0.087	-0.010	-0.040	-0.001	0.049	0.039	0.033	-0.052	0.104	-0.062	-0.026	0.027	-0.032	-0.044	-0.030	-0.095	-0.011	0.022	0.036	-0.075	0.019	-0.020	-0.068	-0.115	-0.044	0.021	-0.065	0.080	0.026	0.094	-0.044	-0.147	-0.028	-0.037	0.024	0.036	-0.026	0.014
120	-0.050	0.062	0.076	-0.034	0.071	-0.082	0.054	1.000	-0.028	-0.049	-0.016	-0.094	-0.011	0.028	-0.019	0.030	0.054	-0.063	0.111	-0.132	-0.064	0.048	-0.042	0.026	-0.033	-0.049	-0.020	-0.022	-0.022	0.036	0.003	0.025	-0.035	-0.052	0.024	0.040	-0.022	-0.036	0.047	-0.051	-0.090	0.041	0.051	-0.078	0.057	-0.081	-0.073	-0.073	0.059	0.025	0.021	0.066	0.039	0.000	0.025	0.025	0.015	0.031	0.003	0.005
124	-0.061	-0.004	-0.029	-0.027	-0.013	0.057	0.062	-0.028	1.000	0.072	0.033	0.086	-0.001	-0.005	-0.000	-0.006	-0.076	0.000	-0.021	0.117	-0.035	-0.032	0.015	0.052	0.028	0.102	-0.046	-0.031	0.022	-0.032	0.024	-0.031	-0.013	-0.012	0.042	-0.008	-0.008	-0.002	-0.078	0.045	0.013	0.014	0.064	-0.018	-0.030	0.049	0.065	0.005	0.020	-0.019	-0.034	-0.010	-0.049	-0.094	-0.031	0.017	-0.016	-0.045	0.027	0.108
125	0.058	-0.144	-0.018	-0.095	-0.046	0.028	-0.042	-0.049	0.072	1.000	-0.153	0.100	0.110	0.060	-0.127	-0.009	0.024	-0.067	-0.056	-0.007	-0.010	0.086	-0.045	-0.068	0.136	0.050	-0.063	0.020	0.023	0.010	-0.038	-0.075	-0.004	-0.010	0.007	0.037	-0.048	0.054	-0.077	-0.000	0.039	0.067	0.034	0.039	-0.005	0.053	-0.035	-0.020	-0.005	-0.150	0.028	-0.083	-0.052	0.095	0.106	0.052	0.021	0.022	-0.045	0.007
129	0.018	0.040	0.025	0.027	-0.029	0.036	-0.017	-0.016	0.033	-0.153	1.000	-0.046	0.066	-0.010	-0.015	0.037	0.042	0.042	0.025	-0.045	-0.081	0.006	-0.044	-0.005	-0.020	-0.011	0.047	-0.102	0.037	-0.024	0.006	0.164	0.031	-0.004	0.035	0.016	-0.003	-0.071	-0.072	-0.096	0.008	0.041	0.015	-0.004	0.029	-0.023	0.018	-0.053	-0.011	-0.002	-0.053	-0.025	0.012	0.011	-0.022	-0.018	0.046	0.025	0.029	0.018
13	-0.085	-0.097	-0.011	0.053	-0.101	0.083	-0.036	-0.094	0.086	0.100	-0.046	1.000	0.046	0.017	-0.053	0.022	-0.046	0.001	-0.020	0.149	0.045	0.053	0.056	0.055	0.046	-0.020	-0.072	0.146	-0.089	0.110	0.083	-0.099	-0.002	0.024	0.044	0.105	-0.059	-0.037	-0.034	0.100	-0.090	-0.065	-0.013	-0.054	0.017	0.159	0.041	-0.027	0.043	0.073	-0.009	-0.039	-0.028	-0.094	-0.098	-0.055	-0.245	-0.074	0.088	-0.053
133	-0.032	-0.108	-0.094	-0.029	0.043	-0.003	0.062	-0.011	-0.001	0.110	0.066	0.046	1.000	-0.010	-0.048	0.066	0.117	-0.015	-0.071	0.011	0.027	0.039	-0.028	-0.013	0.012	0.065	-0.021	-0.055	-0.013	-0.004	0.019	0.032	0.063	-0.026	0.063	0.002	-0.016	-0.076	-0.035	-0.010	-0.020	0.075	0.004	0.026	-0.150	-0.000	0.022	0.070	-0.024	0.011	-0.094	-0.079	0.008	-0.047	-0.020	0.016	-0.043	-0.024	-0.019	0.018
14	0.054	-0.033	0.029	0.106	-0.089	0.115	0.033	0.028	-0.005	0.060	-0.010	0.017	-0.010	1.000	-0.034	0.027	0.037	-0.043	-0.063	0.031	-0.022	-0.063	-0.020	0.044	0.044	-0.006	-0.090	0.040	0.052	-0.013	0.105	-0.103	0.014	0.029	0.011	0.006	0.019	-0.002	0.017	0.021	0.089	-0.007	0.015	-0.018	-0.048	-0.129	-0.072	-0.017	-0.056	0.026	0.076	-0.101	0.015	-0.140	-0.020	0.023	-0.102	0.123	-0.042	-0.017
16	-0.024	0.082	-0.040	0.011	0.026	-0.037	-0.062	-0.019	-0.000	-0.127	-0.015	-0.053	-0.048	-0.034	1.000	-0.002	-0.103	0.005	0.057	0.013	0.030	0.031	0.080	-0.043	-0.106	0.067	0.082	0.033	0.104	0.020	-0.054	0.022	0.081	0.026	0.011	-0.026	-0.008	0.076	0.043	-0.098	0.040	0.021	0.023	-0.031	-0.104	0.127	-0.013	-0.006	0.076	-0.053	0.007	-0.009	0.017	-0.019	-0.151	-0.012	-0.099	-0.052	0.066	0.058
178	-0.002	-0.036	-0.032	0.026	-0.067	-0.071	-0.135	0.030	-0.006	-0.009	0.037	0.022	0.066	0.027	-0.002	1.000	-0.069	0.042	-0.040	0.081	0.097	0.003	-0.013	-0.006	0.038	-0.019	0.038	-0.040	-0.023	-0.044	-0.015	0.082	0.048	0.010	-0.031	0.015	0.034	-0.016	-0.024	0.036	-0.019	0.113	-0.004	0.023	-0.057	-0.053	0.037	-0.081	0.009	-0.018	0.059	-0.030	-0.049	0.043	0.062	-0.006	-0.135	0.004	0.028	0.022
18	0.012	-0.037	0.013	0.003	0.079	0.080	0.086	0.054	-0.076	0.024	0.042	-0.046	0.117	0.037	-0.103	-0.069	1.000	-0.006	0.037	-0.070	0.011	0.136	-0.053	0.072	0.056	-0.101	0.015	0.105	-0.119	-0.067	-0.105	0.012	-0.027	-0.030	0.088	-0.015	0.012	-0.003	0.063	0.044	0.055	-0.062	0.033	-0.046	-0.060	-0.063	0.069	-0.013	-0.041	-0.001	0.033	-0.027	0.011	-0.053	0.039	-0.039	-0.062	0.030	-0.073	-0.123
188	0.003	0.027	0.027	0.050	-0.003	0.045	-0.072	-0.063	0.000	-0.067	0.042	0.001	-0.015	-0.043	0.005	0.042	-0.006	1.000	-0.054	-0.005	0.042	0.025	0.056	0.029	0.033	-0.032	0.048	-0.051	-0.085	-0.024	-0.027	0.037	-0.012	-0.023	-0.010	-0.033	-0.010	0.044	-0.002	-0.051	0.011	-0.026	-0.008	0.028	-0.034	0.082	-0.009	0.054	0.018	0.062	-0.035	0.018	-0.045	-0.030	0.061	-0.017	0.052	-0.012	0.009	-0.007
19	-0.046	0.121	0.097	0.010	-0.050	0.018	0.019	0.111	-0.021	-0.056	0.025	-0.020	-0.071	-0.063	0.057	-0.040	0.037	-0.054	1.000	-0.089	-0.094	0.004	-0.005	-0.003	-0.067	-0.003	0.018	0.082	-0.036	0.029	-0.066	0.108	-0.133	-0.079	0.047	0.028	0.067	-0.030	0.057	0.066	0.069	0.130	-0.032	0.011	0.094	-0.038	-0.003	-0.044	-0.013	0.045	-0.054	0.039	-0.057	0.005	-0.047	0.018	-0.016	-0.071	0.054	0.023
195	-0.007	-0.039	-0.129	-0.043	-0.067	0.027	0.093	-0.132	0.117	-0.007	-0.045	0.149	0.011	0.031	0.013	0.081	-0.070	-0.005	-0.089	1.000	0.003	0.044	-0.002	0.026	0.038	0.078	0.027	0.019	-0.019	0.001	0.046	-0.080	0.110	0.068	0.008	-0.052	0.043	0.022	-0.057	0.021	-0.057	0.050	0.012	0.012	-0.060	-0.017	-0.032	-0.039	-0.045	-0.059	-0.072	-0.003	0.056	-0.023	0.011	-0.051	0.026	0.082	-0.022	0.003
2	0.164	0.032	-0.037	0.143	-0.074	-0.167	-0.045	-0.064	-0.035	-0.010	-0.081	0.045	0.027	-0.022	0.030	0.097	0.011	0.042	-0.094	0.003	1.000	-0.017	-0.048	0.016	-0.046	0.010	0.017	-0.067	0.100	0.047	0.001	0.010	-0.012	-0.089	-0.087	0.063	-0.026	0.032	-0.093	-0.029	0.060	-0.035	0.064	-0.041	0.002	-0.022	0.061	-0.019	-0.025	0.060	0.164	-0.024	0.048	0.045	-0.080	0.032	-0.117	0.031	-0.022	0.046
20	-0.070	-0.114	0.011	-0.060	0.025	0.061	0.043	0.048	-0.032	0.086	0.006	0.053	0.039	-0.063	0.031	0.003	0.136	0.025	0.004	0.044	-0.017	1.000	0.020	0.020	0.006	-0.124	0.016	-0.062	-0.074	0.008	-0.041	-0.016	0.065	0.008	-0.047	0.038	0.129	0.033	0.146	-0.088	-0.034	-0.031	0.004	-0.039	0.044	-0.021	-0.147	-0.055	0.013	0.026	0.004	-0.067	-0.043	0.061	-0.087	-0.077	-0.032	0.020	-0.095	0.082
201	-0.008	-0.093	0.046	-0.086	0.009	-0.085	-0.087	-0.042	0.015	-0.045	-0.044	0.056	-0.028	-0.020	0.080	-0.013	-0.053	0.056	-0.005	-0.002	-0.048	0.020	1.000	0.034	-0.055	-0.035	0.057	-0.071	0.014	0.080	0.025	-0.010	-0.094	0.027	-0.010	0.027	0.083	-0.004	0.090	0.035	0.033	-0.069	-0.023	0.041	-0.026	0.018	0.053	-0.059	0.103	-0.141	0.049	-0.002	0.058	0.033	0.065	-0.061	0.133	-0.021	-0.013	0.030
203	0.053	0.066	0.026	-0.071	-0.091	0.001	-0.010	0.026	0.052	-0.068	-0.005	0.055	-0.013	0.044	-0.043	-0.006	0.072	0.029	-0.003	0.026	0.016	0.020	0.034	1.000	-0.029	0.026	-0.025	-0.033	-0.013	0.111	-0.045	-0.046	-0.064	0.022	-0.008	-0.021	0.087	-0.057	-0.030	0.137	-0.019	-0.041	0.038	0.064	0.040	-0.009	0.017	0.041	-0.026	0.033	-0.027	0.031	-0.016	-0.165	-0.107	0.002	0.025	0.026	-0.020	0.012
21	0.042	-0.009	0.042	0.003	0.074	-0.009	-0.040	-0.033	0.028	0.136	-0.020	0.046	0.012	0.044	-0.106	0.038	0.056	0.033	-0.067	0.038	-0.046	0.006	-0.055	-0.029	1.000	-0.035	0.026	-0.006	-0.040	-0.098	0.052	-0.025	-0.062	-0.093	0.051	-0.088	-0.012	0.086	0.096	0.030	-0.001	-0.086	-0.055	0.000	-0.069	-0.011	0.003	0.052	0.004	0.040	0.056	-0.086	0.015	0.111	-0.115	0.050	-0.065	-0.022	0.023	-0.006
22	0.024	0.082	-0.078	-0.073	-0.052	-0.036	-0.001	-0.049	0.102	0.050	-0.011	-0.020	0.065	-0.006	0.067	-0.019	-0.101	-0.032	-0.003	0.078	0.010	-0.124	-0.035	0.026	-0.035	1.000	-0.001	0.011	-0.007	0.019	0.082	-0.027	0.048	0.027	0.037	0.052	-0.026	-0.008	-0.071	0.074	-0.007	0.034	-0.064	0.016	0.005	0.045	-0.009	0.035	0.016	-0.001	-0.103	-0.042	-0.026	-0.072	-0.035	0.065	0.045	0.008	-0.028	0.087
24	0.052	-0.107	-0.060	0.030	-0.031	0.012	0.049	-0.020	-0.046	-0.063	0.047	-0.072	-0.021	-0.090	0.082	0.038	0.015	0.048	0.018	0.027	0.017	0.016	0.057	-0.025	0.026	-0.001	1.000	-0.019	-0.065	-0.026	0.018	-0.053	0.056	0.054	0.005	-0.129	-0.002	0.015	0.025	0.035	0.024	0.015	-0.056	-0.077	-0.064	-0.035	-0.034	0.009	0.049	-0.054	0.039	0.002	0.055	-0.029	0.068	-0.027	0.041	0.001	0.059	0.086
25	-0.036	-0.013	-0.000	0.149	0.045	-0.067	0.039	-0.022	-0.031	0.020	-0.102	0.146	-0.055	0.040	0.033	-0.040	0.105	-0.051	0.082	0.019	-0.067	-0.062	-0.071	-0.033	-0.006	0.011	-0.019	1.000	-0.152	-0.011	0.049	0.001	0.074	-0.021	0.064	0.035	0.072	0.047	-0.064	0.032	-0.219	-0.052	0.041	-0.032	-0.022	0.065	-0.080	0.053	-0.089	0.108	0.009	0.022	-0.031	-0.002	0.005	-0.011	-0.067	-0.043	0.025	-0.104
26	0.054	0.020	-0.038	-0.091	0.026	0.013	0.033	-0.022	0.022	0.023	0.037	-0.089	-0.013	0.052	0.104	-0.023	-0.119	-0.085	-0.036	-0.019	0.100	-0.074	0.014	-0.013	-0.040	-0.007	-0.065	-0.152	1.000	0.092	-0.018	-0.045	-0.072	0.026	-0.065	0.047	0.004	-0.015	-0.058	-0.038	0.091	0.007	-0.031	0.003	0.098	-0.020	0.057	0.090	-0.053	0.017	0.025	0.026	-0.006	0.047	0.032	0.032	0.068	0.004	0.009	0.069
28	0.069	-0.021	0.159	0.010	0.035	-0.029	-0.052	0.036	-0.032	0.010	-0.024	0.110	-0.004	-0.013	0.020	-0.044	-0.067	-0.024	0.029	0.001	0.047	0.008	0.080	0.111	-0.098	0.019	-0.026	-0.011	0.092	1.000	-0.011	-0.073	-0.099	0.012	0.052	0.065	0.158	0.091	-0.069	-0.062	-0.003	0.031	0.037	-0.093	-0.073	0.028	-0.076	-0.041	0.059	-0.087	0.011	0.001	-0.031	0.052	-0.003	0.009	0.058	-0.037	0.013	-0.025
29	-0.026	0.009	0.061	0.049	-0.109	0.015	0.104	0.003	0.024	-0.038	0.006	0.083	0.019	0.105	-0.054	-0.015	-0.105	-0.027	-0.066	0.046	0.001	-0.041	0.025	-0.045	0.052	0.082	0.018	0.049	-0.018	-0.011	1.000	-0.067	-0.027	0.027	0.084	-0.015	-0.037	-0.013	-0.042	-0.000	-0.199	-0.085	-0.048	0.012	0.030	-0.050	-0.050	0.005	0.058	0.166	0.015	0.093	0.040	-0.048	-0.076	-0.035	-0.060	0.046	0.015	0.061
33	-0.047	0.054	0.031	0.007	0.058	-0.135	-0.062	0.025	-0.031	-0.075	0.164	-0.099	0.032	-0.103	0.022	0.082	0.012	0.037	0.108	-0.080	0.010	-0.016	-0.010	-0.046	-0.025	-0.027	-0.053	0.001	-0.045	-0.073	-0.067	1.000	-0.041	-0.061	-0.016	0.074	-0.027	-0.128	0.049	0.047	0.027	0.084	0.040	0.126	0.058	-0.000	0.022	-0.029	0.051	-0.011	-0.018	0.067	-0.130	0.095	0.050	0.031	-0.052	0.045	0.014	0.012
35	0.058	-0.088	-0.054	-0.084	0.054	0.046	-0.026	-0.035	-0.013	-0.004	0.031	-0.002	0.063	0.014	0.081	0.048	-0.027	-0.012	-0.133	0.110	-0.012	0.065	-0.094	-0.064	-0.062	0.048	0.056	0.074	-0.072	-0.099	-0.027	-0.041	1.000	0.052	0.009	0.030	0.046	0.056	-0.045	-0.098	0.015	0.022	0.066	0.045	-0.045	0.124	-0.005	-0.010	-0.043	0.022	-0.143	-0.061	-0.007	-0.008	-0.013	0.041	0.035	0.040	-0.023	0.031
36	0.012	-0.004	-0.104	-0.014	-0.025	0.002	0.027	-0.052	-0.012	-0.010	-0.004	0.024	-0.026	0.029	0.026	0.010	-0.030	-0.023	-0.079	0.068	-0.089	0.008	0.027	0.022	-0.093	0.027	0.054	-0.021	0.026	0.012	0.027	-0.061	0.052	1.000	-0.012	0.090	0.003	-0.029	0.060	0.076	0.033	-0.085	0.005	-0.060	-0.034	0.044	0.016	-0.108	-0.099	0.073	0.012	-0.021	0.058	0.014	0.044	0.031	0.069	-0.067	-0.026	-0.065
37	0.007	0.011	-0.024	-0.004	-0.041	-0.002	-0.032	0.024	0.042	0.007	0.035	0.044	0.063	0.011	0.011	-0.031	0.088	-0.010	0.047	0.008	-0.087	-0.047	-0.010	-0.008	0.051	0.037	0.005	0.064	-0.065	0.052	0.084	-0.016	0.009	-0.012	1.000	-0.007	-0.073	0.033	-0.040	0.078	-0.109	-0.013	-0.085	-0.036	-0.154	0.071	-0.048	0.085	-0.024	-0.059	0.058	0.055	0.035	-0.050	-0.198	-0.152	-0.037	0.041	-0.046	0.050
