OTU_id	1	100	101	103	114	116	118	130	142	148	163	166	169	17	173	176	184	191	198	2	205	208	217	218	22	221	236	242	254	26	269	27	299	3	301	333	343	344	353	392	40	400	403	423	467	47	48	5	63	66	88	9
1	1.000	-0.022	0.223	-0.037	-0.035	-0.028	-0.030	-0.047	-0.022	-0.057	-0.023	-0.029	-0.016	-0.041	-0.017	-0.029	-0.027	-0.018	-0.040	0.105	-0.023	-0.037	-0.032	-0.026	-0.038	-0.019	-0.016	-0.023	-0.013	-0.029	-0.014	-0.040	0.859	-0.267	-0.024	-0.024	-0.031	-0.022	-0.022	-0.021	-0.023	-0.042	-0.040	-0.017	-0.037	-0.033	-0.027	0.985	-0.029	-0.023	-0.039	0.142
100	-0.022	1.000	-0.063	-0.061	0.656	0.139	0.427	-0.080	-0.036	-0.106	0.478	-0.048	-0.002	-0.045	0.274	-0.010	-0.044	-0.031	-0.012	-0.059	-0.034	0.048	0.590	0.168	-0.066	-0.015	-0.019	0.135	-0.021	0.347	0.330	-0.044	-0.047	-0.515	0.285	0.131	-0.049	0.116	-0.034	0.071	-0.036	-0.078	-0.031	0.089	-0.059	0.139	0.519	-0.028	0.303	0.520	-0.069	0.153
101	0.223	-0.063	1.000	0.053	-0.071	-0.037	-0.089	0.029	-0.025	0.001	-0.073	-0.017	0.034	0.100	-0.062	0.033	0.070	-0.047	-0.043	-0.025	-0.033	-0.043	-0.083	-0.036	0.001	-0.023	0.026	-0.048	-0.034	-0.044	-0.046	0.186	0.209	0.020	-0.020	-0.063	0.044	0.013	0.000	-0.044	0.374	-0.058	0.032	-0.053	0.012	-0.103	-0.068	0.216	-0.080	-0.024	0.124	0.017
103	-0.037	-0.061	0.053	1.000	0.355	0.091	-0.101	0.008	0.706	0.087	-0.080	-0.059	0.116	0.149	-0.058	0.159	0.073	-0.046	0.819	0.188	-0.017	0.185	-0.079	0.013	-0.077	0.073	0.179	-0.023	0.030	0.474	-0.047	0.067	-0.069	-0.199	0.024	0.211	-0.026	0.279	0.179	0.019	0.007	0.045	0.741	-0.055	0.231	-0.032	-0.078	-0.039	-0.086	0.357	0.018	0.055
114	-0.035	0.656	-0.071	0.355	1.000	0.229	0.375	-0.107	0.250	-0.120	0.167	-0.043	-0.020	-0.061	0.083	0.106	-0.066	-0.037	0.325	0.018	0.016	0.031	0.483	0.135	-0.088	-0.019	-0.002	0.010	-0.038	0.511	0.095	-0.075	-0.073	-0.551	-0.045	0.128	-0.064	0.151	-0.032	0.055	-0.027	-0.071	0.248	0.015	0.002	0.187	0.262	-0.037	0.464	0.726	-0.046	0.081
116	-0.028	0.139	-0.037	0.091	0.229	1.000	0.444	-0.106	0.016	-0.003	0.282	-0.044	0.093	0.025	0.008	0.170	-0.046	-0.035	0.189	-0.023	-0.033	0.231	0.132	0.928	-0.085	0.092	0.089	0.851	0.076	0.258	0.028	0.018	-0.065	-0.448	0.265	0.430	-0.058	0.173	0.139	0.919	-0.030	-0.086	0.084	-0.017	0.180	0.006	0.399	-0.023	0.606	0.470	-0.021	0.083
118	-0.030	0.427	-0.089	-0.101	0.375	0.444	1.000	-0.111	-0.050	-0.121	0.708	-0.065	-0.025	-0.008	0.405	-0.050	-0.060	-0.041	-0.065	-0.081	-0.011	-0.008	0.805	0.516	-0.090	-0.036	-0.034	0.579	-0.025	0.087	0.256	0.044	-0.067	-0.635	0.342	0.330	-0.064	0.022	-0.046	0.478	-0.043	-0.103	-0.071	0.562	-0.054	0.217	0.617	-0.038	0.860	0.294	-0.095	0.016
130	-0.047	-0.080	0.029	0.008	-0.107	-0.106	-0.111	1.000	0.018	0.009	-0.087	-0.095	-0.055	-0.143	-0.063	-0.047	-0.044	-0.059	0.017	-0.003	-0.043	-0.078	-0.114	-0.091	0.699	-0.058	-0.053	-0.081	-0.036	-0.068	-0.051	-0.114	0.274	0.068	-0.083	-0.086	0.530	-0.075	-0.077	-0.077	-0.024	0.114	-0.065	-0.062	-0.100	-0.088	-0.099	-0.054	-0.068	-0.107	-0.133	-0.062
142	-0.022	-0.036	-0.025	0.706	0.250	0.016	-0.050	0.018	1.000	0.080	-0.040	-0.044	-0.013	0.004	-0.029	-0.017	-0.004	-0.029	0.769	0.036	-0.031	0.100	-0.054	0.016	-0.016	0.229	0.077	0.022	0.238	0.760	-0.024	-0.024	-0.009	-0.222	-0.005	0.026	-0.020	-0.017	-0.002	0.003	0.070	0.053	0.547	-0.030	0.044	0.000	-0.045	-0.022	-0.048	0.402	-0.045	0.221
