OTU_id	1	100	101	103	114	116	118	130	142	148	163	166	169	17	173	176	184	191	198	2	205	208	217	218	22	221	236	242	254	26	269	27	299	3	301	333	343	344	353	392	40	400	403	423	467	47	48	5	63	66	88	9
1	1.000	-0.015	-0.007	0.066	-0.034	-0.037	-0.024	-0.042	-0.023	-0.018	-0.017	-0.026	0.001	-0.023	-0.019	-0.006	-0.032	-0.019	-0.018	-0.017	-0.019	-0.028	-0.038	-0.022	0.055	-0.016	-0.033	-0.034	-0.020	-0.024	-0.011	-0.037	-0.028	-0.135	-0.044	-0.026	-0.013	-0.020	-0.027	-0.034	-0.017	-0.006	-0.009	-0.017	-0.033	-0.029	-0.023	-0.020	-0.038	-0.036	-0.007	-0.015
100	-0.015	1.000	0.004	0.153	0.110	-0.043	-0.028	-0.055	-0.031	0.118	-0.023	-0.033	-0.025	-0.026	-0.023	-0.011	-0.038	-0.018	-0.036	-0.032	-0.025	-0.027	-0.041	-0.055	-0.067	-0.017	0.211	-0.029	-0.009	0.686	0.025	0.105	-0.024	-0.246	-0.051	-0.029	-0.020	-0.029	-0.020	-0.028	0.216	-0.019	-0.056	-0.019	-0.047	-0.041	-0.015	-0.013	0.002	-0.025	-0.043	-0.029
101	-0.007	0.004	1.000	-0.030	0.012	0.001	-0.006	-0.030	-0.032	0.907	-0.008	0.014	-0.034	0.022	-0.005	0.269	0.001	0.054	0.025	0.032	0.181	0.091	-0.008	0.087	0.220	-0.005	0.128	0.009	0.090	-0.013	0.467	0.226	0.072	-0.321	0.037	0.184	0.805	0.082	0.193	0.128	0.478	0.947	0.280	0.033	0.061	-0.050	0.078	-0.019	-0.038	-0.022	0.035	0.062
103	0.066	0.153	-0.030	1.000	0.031	-0.067	0.134	-0.115	0.028	0.007	-0.051	-0.030	-0.055	0.029	-0.056	-0.048	-0.083	0.077	-0.040	-0.049	-0.060	-0.068	-0.055	-0.086	-0.100	-0.046	-0.064	-0.032	-0.048	0.095	0.030	-0.048	-0.034	-0.038	-0.007	-0.068	0.008	-0.068	-0.039	-0.047	-0.013	-0.015	-0.095	-0.021	-0.080	-0.068	-0.026	-0.040	-0.052	0.010	-0.039	-0.038
114	-0.034	0.110	0.012	0.031	1.000	0.133	0.021	0.272	0.053	-0.009	-0.052	0.004	-0.053	-0.029	-0.048	-0.054	-0.052	0.766	0.671	-0.054	-0.054	-0.042	-0.078	-0.078	-0.128	-0.031	-0.024	-0.071	-0.013	0.080	0.069	-0.052	-0.042	-0.534	-0.096	-0.025	-0.056	-0.049	0.214	0.132	-0.010	0.029	-0.075	0.720	0.042	-0.080	-0.044	0.001	0.125	0.398	-0.066	-0.034
116	-0.037	-0.043	0.001	-0.067	0.133	1.000	0.004	0.374	-0.037	-0.012	0.094	0.033	-0.011	0.416	-0.049	-0.024	-0.016	-0.022	0.033	0.462	0.043	-0.048	-0.083	-0.110	-0.117	-0.033	0.240	-0.065	-0.020	-0.058	0.060	0.104	0.163	-0.423	0.055	0.036	-0.023	0.155	0.438	-0.014	-0.009	-0.044	-0.043	-0.014	0.455	0.006	-0.044	-0.046	0.361	0.414	0.009	0.526
118	-0.024	-0.028	-0.006	0.134	0.021	0.004	1.000	-0.084	-0.043	-0.023	-0.036	-0.016	-0.009	-0.036	-0.035	-0.030	-0.060	-0.032	0.023	0.045	-0.036	-0.030	-0.069	0.026	-0.101	-0.024	0.070	-0.063	-0.034	-0.033	-0.019	-0.072	-0.059	-0.021	-0.077	-0.021	-0.029	-0.043	0.062	-0.050	0.024	-0.016	-0.044	-0.031	-0.054	-0.041	-0.024	-0.035	-0.023	-0.062	-0.064	-0.033
130	-0.042	-0.055	-0.030	-0.115	0.272	0.374	-0.084	1.000	-0.007	-0.079	-0.070	-0.078	0.162	-0.056	-0.059	-0.026	-0.080	0.032	0.076	-0.063	-0.033	-0.064	-0.009	-0.042	-0.070	-0.045	-0.081	0.176	-0.049	0.012	-0.022	-0.072	-0.077	-0.276	0.001	-0.003	-0.068	0.102	0.562	-0.089	-0.076	-0.020	-0.068	0.026	0.113	-0.075	-0.027	-0.049	0.336	0.611	-0.090	-0.023
142	-0.023	-0.031	-0.032	0.028	0.053	-0.037	-0.043	-0.007	1.000	-0.037	-0.034	-0.039	0.264	0.031	-0.023	0.044	-0.047	-0.032	-0.062	-0.042	-0.016	-0.022	-0.061	-0.051	-0.083	-0.025	-0.046	-0.051	-0.024	-0.041	-0.042	-0.043	0.048	-0.215	0.056	-0.046	0.221	-0.041	-0.011	0.017	-0.056	-0.009	-0.056	-0.029	-0.079	-0.007	-0.027	-0.030	-0.062	-0.009	-0.058	0.010
148	-0.018	0.118	0.907	0.007	-0.009	-0.012	-0.023	-0.079	-0.037	1.000	0.023	-0.004	-0.025	0.117	-0.024	0.296	-0.043	0.003	0.018	0.070	0.174	0.239	-0.007	0.161	0.190	0.157	0.002	-0.043	0.085	0.065	0.479	0.208	0.092	-0.331	-0.012	0.061	0.771	0.048	0.197	0.135	0.478	0.919	0.301	-0.016	0.045	-0.045	0.099	-0.025	-0.038	-0.038	0.008	0.066
